att_rank,att_tier,team,att_xPts,avg_GF/match,att_xPts * ^avg_GF/match,attAdv_nxtGWs
1,1,ARS,40.31318,2.38462,39.67331,15
3,2,AVL,33.70455,2.15385,29.95962,9
6,3,BHA,31.60525,1.88462,24.58189,8
2,1,LIV,33.45245,2.42308,33.45245,7
8,4,CHE,25.34828,1.68,17.57479,5
16,8,BOU,22.67424,1.32,12.35205,5
7,4,NEW,26.51018,2.07692,22.72295,3
5,3,TOT,29.18428,2.08,25.05212,2
9,5,WOL,24.15958,1.53846,15.33938,2
4,2,MCI,31.67657,2.26923,29.66531,1
12,6,WHU,22.04417,1.53846,13.99627,0
11,6,FUL,26.39134,1.38462,15.0808,-3
19,10,BUR,19.06283,0.96154,7.56462,-3
17,9,CRY,22.1528,1.19231,10.90059,-5
13,7,BRE,23.53482,1.42308,13.82205,-6
10,5,MUN,26.76398,1.38462,15.29373,-7
14,7,NFO,25.11628,1.30769,13.55478,-7
15,8,LUT,23.34596,1.4,13.48876,-7
18,9,EVE,19.63583,1.07692,8.727,-7
20,10,SHU,17.41086,0.84615,6.07995,-10
