def_rank,def_tier,team,def_xPts,avg_GA/match,def_xPts / ^avg_GA/match,defAdv_nxtGWs
1,1,ARS,23.12817,0.88462,23.12817,15
4,2,EVE,16.39135,1.30769,11.08834,7
3,2,LIV,19.13754,0.96154,17.6066,5
5,3,MUN,16.28183,1.38462,10.4023,5
6,3,AVL,15.40238,1.34615,10.12165,5
2,1,MCI,20.5229,1.0,18.15497,4
8,4,TOT,14.25856,1.52,8.29829,3
9,5,BHA,14.31746,1.57692,8.0318,3
16,8,WHU,12.48898,1.76923,6.24453,3
7,4,WOL,16.97623,1.53846,9.76139,2
10,5,CRY,15.28183,1.69231,7.98826,1
17,9,BOU,11.84952,1.88,5.5757,1
12,6,NEW,15.50512,1.73077,7.92488,-3
13,7,CHE,13.05632,1.64,7.04261,-3
11,6,FUL,14.47963,1.61538,7.92939,-4
19,10,BUR,9.36503,2.23077,3.71374,-6
18,9,LUT,10.57768,2.04,4.58688,-8
14,7,BRE,14.23854,1.84615,6.82268,-9
20,10,SHU,7.48812,2.53846,2.60951,-11
15,8,NFO,13.67063,1.84615,6.55056,-12
