att_rank,att_tier,team,att_xPts,avg_GF/match,att_potential,attAdv_nxtGWs
7,4,ARS,26.27426457862,2.0,0.53554002202,5
10,5,BRE,24.58672575837,1.33333333333,-0.10403482272,5
2,1,LIV,31.80306964408,2.0,1.13592176611,4
3,2,TOT,31.18409463488,2.0,1.06870628443,4
9,5,BOU,24.85410196625,1.33333333333,-0.07500001463,4
11,6,NEW,23.98027590821,1.33333333333,-0.16989017743,4
1,1,CHE,37.64589803375,2.5,2.11264554112,2
5,3,MCI,27.85285038379,2.33333333333,0.93512232657,1
13,7,LEI,22.95021926029,1.33333333333,-0.28174566871,1
4,2,AVL,31.09267310867,2.0,1.05877867535,0
8,4,FUL,29.70726291204,1.33333333333,0.45201245886,0
16,8,WOL,19.33218527154,1.0,-0.90279489838,0
6,3,BHA,30.05197334262,1.66666666667,0.71760627212,-1
12,6,EVE,24.32185271542,1.16666666667,-0.24687838753,-1
15,8,WHU,19.65967477525,1.0,-0.8672322918,-2
17,9,IPS,20.36349350192,0.83333333333,-0.90488407517,-2
18,9,MUN,20.25579206929,0.83333333333,-0.91657954521,-2
14,7,NFO,22.10989403554,1.0,-0.6011590815,-4
19,10,CRY,17.18753882025,0.83333333333,-1.24976605027,-9
20,10,SOU,15.17595468167,0.5,-1.6963683332,-9
