att_rank,def_rank,diff=(def-att)_rank,team,avg_att_pts/match,avg_def_pts/match,avg_(att-def)_pts/match,attAdv_nxtGWs,defAdv_nxtGWs,delta=(att-def)Adv_nxtGWs,#OfMatches_nxtGWs,delta/#OfMatches_nxtGWs,#atts,#defs
18,5,-13,CRY,21.0,18.71429,2.2857100000000017,-1,4,-5,1,-5.0,0,3
17,9,-8,EVE,20.07143,14.78571,5.2857199999999995,-8,-3,-5,1,-5.0,0,3
3,2,-1,NEW,30.21429,22.42857,7.785719999999998,3,8,-5,1,-5.0,0,3
14,15,1,BOU,22.14286,11.35714,10.78572,-4,1,-5,1,-5.0,0,3
12,4,-8,MUN,23.57143,20.14286,3.4285700000000006,-1,2,-3,1,-3.0,0,3
6,1,-5,ARS,31.57143,22.42857,9.142859999999999,6,9,-3,1,-3.0,1,2
19,17,-2,LUT,17.71429,12.28571,5.428579999999998,-9,-6,-3,1,-3.0,1,2
8,10,2,CHE,25.42857,15.92857,9.5,-2,1,-3,1,-3.0,1,2
15,11,-4,NFO,21.42857,15.92857,5.5,-1,1,-2,1,-2.0,1,2
13,13,0,FUL,23.28571,13.5,9.785710000000002,-1,1,-2,1,-2.0,1,2
4,3,-1,LIV,29.71429,20.71429,9.0,8,8,0,1,0.0,2,1
20,20,0,SHU,14.57143,8.0,6.571429999999999,-8,-8,0,1,0.0,2,1
7,7,0,TOT,28.64286,17.78571,10.857149999999997,3,1,2,1,2.0,2,1
9,14,5,WHU,26.0,12.71429,13.28571,-1,-3,2,1,2.0,2,1
16,19,3,BUR,21.57143,9.07143,12.5,0,-4,4,1,4.0,2,1
11,16,5,WOL,21.92857,11.35714,10.571430000000001,4,0,4,1,4.0,3,0
10,8,-2,BRE,27.0,15.71429,11.28571,4,-1,5,1,5.0,3,0
5,18,13,BHA,30.07143,8.92857,21.14286,1,-4,5,1,5.0,3,0
1,6,5,MCI,32.92857,18.64286,14.285710000000002,5,-2,7,1,7.0,3,0
2,12,10,AVL,30.35714,15.28571,15.071430000000001,2,-5,7,1,7.0,3,0
