fpl_rank,fpl_tier,team,form,avg_pts/match,xPts,fplAdv_nxtGWs
1,1,ARS,56.2,54.0,54.44,9
3,2,LIV,51.8,50.42857,50.70286,8
2,1,NEW,47.6,52.64286,51.63429,7
9,5,BRE,33.7,42.71429,40.91143,2
12,6,CRY,31.2,39.71429,38.01143,2
4,2,MCI,38.3,51.57143,48.91714,1
5,3,MUN,56.3,43.71429,46.23143,1
7,4,TOT,29.2,46.42857,42.98286,1
11,6,NFO,42.8,37.35714,38.44571,1
17,9,BUR,48.6,30.64286,34.23429,0
18,9,WOL,35.0,33.28571,33.62857,0
6,3,AVL,33.7,45.64286,43.25429,-1
8,4,CHE,41.1,41.35714,41.30571,-1
10,5,WHU,37.9,38.71429,38.55143,-1
14,7,FUL,38.1,36.78571,37.04857,-1
13,7,BHA,32.4,39.0,37.68,-2
15,8,BOU,49.9,33.5,36.78,-2
16,8,EVE,40.5,34.85714,35.98571,-7
20,10,SHU,19.1,22.57143,21.87714,-8
19,10,LUT,33.0,30.0,30.6,-9
