id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,fplAdv_nxtGWs,fplAdv*xPts,defAdv_nxtGWs,defAdv*xPts,attAdv_nxtGWs,attAdv*xPts,avgAdv*xPts,#OfMatches_nxtGWs,tot_xPts,gw35Pts,gw36Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend
7,Martin,Ødegaard,MID,ARS,195,^,"Ødegaard (MID, ^)",5.9,7.2,6.333,1,6.333,1,0.0,1,6.333,6.333,2,12.666,0,0,0,0,?
19,Gabriel,Martinelli Silva,MID,ARS,191,vv,"Martinelli (MID, vv)",5.6,5.8,5.667,1,5.667,1,0.0,1,5.667,5.667,2,11.334,0,0,0,0,?
28,Gabriel,Fernando de Jesus,FWD,ARS,108,~,"Jesus (FWD, ~)",4.9,5.0,4.933,1,4.933,1,0.0,1,4.933,4.933,2,9.866,0,0,0,0,?
13,Bukayo,Saka,MID,ARS,189,v,"Saka (MID, v)",5.6,3.6,4.933,1,4.933,1,0.0,1,4.933,4.933,2,9.866,0,0,0,0,?
3,Granit,Xhaka,MID,ARS,132,^^,"Xhaka (MID, ^^)",4.0,3.4,3.8,1,3.8,1,0.0,1,3.8,3.8,2,7.6,0,0,0,0,?
10,Benjamin,White,DEF,ARS,141,vv,"White (DEF, vv)",4.1,2.4,3.533,1,3.533,1,3.533,1,0.0,3.533,2,7.066,0,0,0,0,?
5,Rob,Holding,DEF,ARS,21,^^^,"Holding (DEF, ^^^)",1.5,2.0,1.667,1,1.667,1,1.667,1,0.0,1.667,2,3.334,0,0,0,0,?
111,Leandro,Trossard,MID,ARS,140,~,"Trossard (MID, ~)",4.4,1.6,3.467,1,3.467,1,0.0,1,3.467,3.467,2,6.934,0,0,0,0,?
15,Aaron,Ramsdale,GKP,ARS,123,~,"Ramsdale (GKP, ~)",3.6,1.6,2.933,1,2.933,1,2.933,1,0.0,2.933,2,5.866,0,0,0,0,?
23,Reiss,Nelson,MID,ARS,39,vv,"Nelson (MID, vv)",4.9,1.4,3.733,1,3.733,1,0.0,1,3.733,3.733,2,7.466,0,0,0,0,?
6,Thomas,Partey,MID,ARS,80,v,"Partey (MID, v)",2.8,1.4,2.333,1,2.333,1,0.0,1,2.333,2.333,2,4.666,0,0,0,0,?
16,Gabriel,dos Santos Magalhães,DEF,ARS,131,vv,"Gabriel (DEF, vv)",3.9,1.0,2.933,1,2.933,1,2.933,1,0.0,2.933,2,5.866,0,0,0,0,?
130,Jorge Luiz,Frello Filho,MID,ARS,67,~,"Jorginho (MID, ~)",2.4,0.8,1.867,1,1.867,1,0.0,1,1.867,1.867,2,3.734,0,0,0,0,?
313,Oleksandr,Zinchenko,DEF,ARS,93,vv,"Zinchenko (DEF, vv)",3.6,0.6,2.6,1,2.6,1,2.6,1,0.0,2.6,2,5.2,0,0,0,0,?
11,Eddie,Nketiah,FWD,ARS,60,vv,"Nketiah (FWD, vv)",2.3,0.6,1.733,1,1.733,1,0.0,1,1.733,1.733,2,3.466,0,0,0,0,?
8,Kieran,Tierney,DEF,ARS,33,v,"Tierney (DEF, v)",1.4,0.6,1.133,1,1.133,1,1.133,1,0.0,1.133,2,2.266,0,0,0,0,?
710,Jakub,Kiwior,DEF,ARS,4,~,"Kiwior (DEF, ~)",1.3,0.6,1.067,1,1.067,1,1.067,1,0.0,1.067,2,2.134,0,0,0,0,?
25,Fábio,Ferreira Vieira,MID,ARS,38,vv,"Fábio Vieira (MID, vv)",1.9,0.4,1.4,1,1.4,1,0.0,1,1.4,1.4,2,2.8,0,0,0,0,?
12,Emile,Smith Rowe,MID,ARS,13,v,"Smith Rowe (MID, v)",1.3,0.2,0.933,1,0.933,1,0.0,1,0.933,0.933,2,1.866,0,0,0,0,?
26,William,Saliba,DEF,ARS,117,vv,"Saliba (DEF, vv)",4.3,0.0,0.0,1,0.0,1,0.0,1,0.0,0.0,2,0.0,0,0,0,0,?
14,Takehiro,Tomiyasu,DEF,ARS,32,vv,"Tomiyasu (DEF, vv)",1.5,0.0,0.0,1,0.0,1,0.0,1,0.0,0.0,2,0.0,0,0,0,0,?
4,Mohamed,Elneny,MID,ARS,6,vv,"Elneny (MID, vv)",1.2,0.0,0.0,1,0.0,1,0.0,1,0.0,0.0,2,0.0,0,0,0,0,?
27,Marcus,Oliveira Alencar,MID,ARS,1,vv,"Marquinhos (MID, vv)",1.0,0.0,0.0,1,0.0,1,0.0,1,0.0,0.0,2,0.0,0,0,0,0,?
630,Ethan,Nwaneri,MID,ARS,1,vv,"Nwaneri (MID, vv)",1.0,0.0,0.0,1,0.0,1,0.0,1,0.0,0.0,2,0.0,0,0,0,0,?
