att_rank,def_rank,(def-att)_rank,team,att_med_xPts,def_med_xPts,(att-def)_med_xPts,attAdv_nxtGWs,defAdv_nxtGWs,(att-def)Adv_nxtGWs,#OfMatches_nxtGWs,(att-def)Adv_nxtGWs/#OfMatches_nxtGWs,#atts,#defs
19,1,-18,CRY,19.809016994374947,37.1393202250021,-17.330303230627155,-4,4,-8,1,-8.0,0,3
10,11,1,FUL,28.02786404500042,13.218847050625474,14.809016994374947,-4,4,-8,1,-8.0,0,3
11,4,-7,EVE,26.982779073125684,20.80243918562673,6.180339887498953,0,7,-7,1,-7.0,0,3
18,12,-6,NFO,24.701626123751154,14.465558146251368,10.236067977499786,-7,0,-7,1,-7.0,0,3
16,9,-7,SUN,23.118033988749897,15.927050983124841,7.190983005625055,-5,-4,-1,1,-1.0,0,3
20,18,-2,WOL,14.809016994374947,12.427050983124843,2.3819660112501033,-6,-5,-1,1,-1.0,1,2
7,8,1,MUN,26.072949016875157,16.072949016875157,10.0,5,6,-1,1,-1.0,1,2
1,6,5,MCI,32.69098300562505,17.354101966249683,15.336881039375367,4,5,-1,1,-1.0,1,2
8,3,-5,CHE,27.954915028125264,26.02786404500042,1.9270509831248432,3,3,0,1,0.0,1,2
6,5,-1,AVL,30.61145618000168,18.937694101250948,11.673762078750734,-2,-2,0,1,0.0,1,2
2,2,0,ARS,34.57294901687516,24.905764746872634,9.667184270002522,2,2,0,1,0.0,2,1
9,14,5,BOU,25.562305898749052,11.753288904374106,13.809016994374947,-3,-3,0,1,0.0,2,1
17,16,-1,WHU,22.79179606750063,13.29179606750063,9.5,-5,-6,1,1,1.0,2,1
3,7,4,BHA,29.045084971874736,16.409830056250524,12.635254915624213,6,5,1,1,1.0,2,1
15,19,4,BUR,23.78115294937453,10.0,13.78115294937453,-3,-7,4,1,4.0,2,1
5,10,5,NEW,30.673762078750734,15.5,15.173762078750734,7,3,4,1,4.0,3,0
14,15,1,LIV,24.562305898749052,14.072949016875159,10.489356881873894,3,-2,5,1,5.0,3,0
12,20,8,LEE,26.881966011250103,9.73606797749979,17.145898033750314,2,-3,5,1,5.0,3,0
13,17,4,BRE,24.83688103937537,13.0,11.83688103937537,0,-7,7,1,7.0,3,0
4,13,9,TOT,27.70820393249937,10.281152949374526,17.427050983124843,7,0,7,1,7.0,3,0
