id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,^fplAdv*xPts,^defAdv*xPts,^attAdv*xPts,^avgAdv*xPts,fplAdv_nxtGWs,defAdv_nxtGWs,attAdv_nxtGWs,#OfMatches_nxtGWs,tot_xPts,gw24Pts,gw25Pts,gw26Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend
12,Gabriel,Martinelli Silva,MID,ARS,84,^^,"Martinelli (MID, ^^)",4.0,9.0,5.91,14.446666666666667,0.0,13.133333333333333,13.79,17,0,13,3,17.73,3,3,6,12,0.67682,~
19,Bukayo,Saka,MID,ARS,129,^,"Saka (MID, ^)",5.9,7.3,6.4348,15.729511111111112,0.0,14.299555555555555,15.01453,17,0,13,3,19.3044,15,15,10,40,2.07207,^^^
5,Gabriel,dos Santos Magalhães,DEF,ARS,76,vvv,"Gabriel (DEF, vvv)",3.6,6.0,4.5168,11.041066666666666,10.5392,0.0,10.79013,17,15,0,3,13.5504,12,6,2,20,1.47597,^
26,Leandro,Trossard,MID,ARS,64,^^^,"Trossard (MID, ^^^)",3.4,5.7,4.2786,10.4588,0.0,9.508,9.9834,17,0,13,3,12.8358,8,11,1,20,1.55814,^
8,Gabriel,Fernando de Jesus,FWD,ARS,63,vv,"G.Jesus (FWD, vv)",3.7,5.0,4.1966,10.258355555555555,0.0,9.32577777777778,9.79207,17,0,13,3,12.5898,0,0,0,0,0.0,vv
31,Oleksandr,Zinchenko,DEF,ARS,85,vv,"Zinchenko (DEF, vv)",4.0,4.7,4.2674,10.431422222222224,9.957266666666667,0.0,10.19434,17,15,0,3,12.8022,0,0,0,0,0.0,vv
113,David,Raya Martin,GKP,ARS,67,v,"Raya (GKP, v)",3.7,4.0,3.8146,9.324577777777778,8.900733333333333,0.0,9.11266,17,15,0,3,11.4438,6,6,2,14,1.22337,~
20,William,Saliba,DEF,ARS,84,vv,"Saliba (DEF, vv)",3.7,3.0,3.4326,8.390799999999999,8.0094,0.0,8.2001,17,15,0,3,10.2978,12,6,2,20,1.94216,^^
29,Benjamin,White,DEF,ARS,78,vv,"White (DEF, vv)",3.5,3.0,3.309,8.088666666666667,7.721000000000001,0.0,7.90483,17,15,0,3,9.927,9,6,2,17,1.7125,^^
540,Declan,Rice,MID,ARS,78,vv,"Rice (MID, vv)",3.4,3.0,3.2472,7.937599999999999,0.0,7.215999999999999,7.5768,17,0,13,3,9.7416,17,3,6,26,2.66897,^^^
6,Kai,Havertz,MID,ARS,60,^^,"Havertz (MID, ^^)",2.7,2.7,2.7,6.6000000000000005,0.0,6.0,6.3,17,0,13,3,8.1,3,12,14,29,3.58025,^^^
14,Martin,Ødegaard,MID,ARS,90,v,"Ødegaard (MID, v)",4.5,2.3,3.6596,8.945688888888888,0.0,8.132444444444445,8.53907,17,0,13,3,10.9788,10,14,2,26,2.3682,^^^
9,Jorge Luiz,Frello Filho,MID,ARS,22,~,"Jorginho (MID, ~)",1.6,2.3,1.8674,4.564755555555555,0.0,4.149777777777778,4.35727,17,0,13,3,5.6022,0,1,2,3,0.5355,v
13,Eddie,Nketiah,FWD,ARS,65,vv,"Nketiah (FWD, vv)",3.1,1.7,2.5652,6.270488888888888,0.0,5.700444444444445,5.98547,17,0,13,3,7.6956,1,1,1,3,0.38983,v
10,Jakub,Kiwior,DEF,ARS,18,^^^,"Kiwior (DEF, ^^^)",1.6,1.7,1.6382,4.004488888888889,3.822466666666667,0.0,3.91348,17,15,0,3,4.9146,6,9,8,23,4.67993,^^^
22,Emile,Smith Rowe,MID,ARS,15,vv,"Smith Rowe (MID, vv)",1.9,1.3,1.6708,4.084177777777778,0.0,3.712888888888889,3.89853,17,0,13,3,5.0124,0,1,1,2,0.39901,v
578,Reiss,Nelson,MID,ARS,9,^^,"Nelson (MID, ^^)",0.9,0.3,0.6708,1.6397333333333333,0.0,1.4906666666666666,1.5652,17,0,13,3,2.0124,1,1,1,3,1.49076,^
3,Mohamed,Elneny,MID,ARS,4,vv,"M.Elneny (MID, vv)",4.0,0.0,2.472,6.042666666666667,0.0,5.493333333333333,5.768,17,0,13,3,7.416,1,0,1,2,0.26969,vv
17,Aaron,Ramsdale,GKP,ARS,17,vv,"Ramsdale (GKP, vv)",3.4,0.0,2.1012,5.136266666666667,4.9028,0.0,5.01953,17,15,0,3,6.3036,0,0,0,0,0.0,vv
25,Takehiro,Tomiyasu,DEF,ARS,39,vv,"Tomiyasu (DEF, vv)",3.0,0.0,1.854,4.532,4.3260000000000005,0.0,4.429,17,15,0,3,5.562,0,0,0,0,0.0,vv
4,Fábio,Ferreira Vieira,MID,ARS,21,vv,"Fábio Vieira (MID, vv)",2.6,0.0,1.6068,3.9277333333333337,0.0,3.570666666666667,3.7492,17,0,13,3,4.8204,0,0,0,0,0.0,vv
