att_rank,att_tier,team,"avg_CS/match-log(avg_GA/match,MP)",avg_att_pts/match,avg_GF/match,attAdv_nxtGWs
2,1,NEW,0.45455,31.18182,2.45455,7
3,1,AVL,0.025559391504261647,31.09091,2.36364,7
4,1,BHA,-0.24931697707441536,30.54545,2.18182,7
6,2,ARS,0.5382371067570249,32.54545,2.09091,5
1,1,MCI,0.4964470849207365,34.0,2.54545,3
7,2,TOT,0.2939723939879303,28.72727,2.09091,3
8,2,BRE,0.17215671708498193,28.36364,1.72727,2
5,2,LIV,0.31247784924347244,30.09091,2.18182,0
9,3,WHU,-0.15840697707441537,25.36364,1.63636,0
12,3,MUN,0.11646939150426161,23.27273,1.09091,0
15,4,CRY,0.38488239398793034,20.45455,0.90909,0
13,4,NFO,0.1433842364525398,20.54545,1.09091,-1
19,5,SHU,-0.41840906074785367,15.63636,0.81818,-1
10,3,CHE,0.23644308984604995,24.72727,1.54545,-3
11,3,WOL,-0.13701577041183044,21.54545,1.27273,-3
14,4,EVE,0.052474236452539846,19.54545,1.0,-5
17,5,FUL,0.09118949028081111,21.72727,0.81818,-5
18,5,BOU,-0.2835615022554699,19.63636,0.81818,-5
20,5,BUR,-0.3744715022554699,18.81818,0.72727,-5
16,4,LUT,-0.2696642743616748,17.27273,0.90909,-6
