team,avgAdv_nxtGWs,#atts,#defs,Player1,Player2,Player3
NEW,7.33,1,2,"Trippier (DEF, v) ==> (6.233, 46.7475)","Gordon (MID, ~) ==> (5.5, 38.5)","Schär (DEF, ~) ==> (4.5, 33.75)"
ARS,6.67,0,3,"Raya (GKP, ~) ==> (4.167, 31.2525)","White (DEF, ~) ==> (4.1, 30.75)","Saliba (DEF, ~) ==> (3.9, 29.25)"
AVL,4.0,3,0,"Douglas Luiz (MID, ~) ==> (6.2, 37.2)","Watkins (FWD, vv) ==> (6.133, 36.798)","Diaby (MID, ^^) ==> (5.5, 33.0)"
CRY,4.0,0,3,"Mitchell (DEF, ^^^) ==> (4.667, 28.002)","Andersen (DEF, ~) ==> (4.5, 27.0)","Johnstone (GKP, ~) ==> (4.233, 25.398)"
MCI,3.0,1,2,"Haaland (FWD, ^) ==> (7.633, 19.0825)","Stones (DEF, ^^^) ==> (4.1, 12.3)","Walker (DEF, ^^) ==> (3.933, 11.799)"
BHA,2.67,3,0,"Mitoma (MID, ~) ==> (4.233, 16.932)","Gross (MID, ~) ==> (3.9, 15.6)","Ferguson (FWD, ^^) ==> (3.8, 15.2)"
LIV,2.0,0,3,"A.Becker (GKP, ^) ==> (5.333, 15.999)","Virgil (DEF, ^) ==> (4.1, 12.3)","Tsimikas (DEF, ~) ==> (3.767, 11.301)"
BRE,1.67,2,1,"Mbeumo (MID, ^) ==> (7.9, 11.85)","Pinnock (DEF, ^^^) ==> (4.967, 7.4505)","Jensen (MID, ~) ==> (4.5, 6.75)"
TOT,1.0,3,0,"Son (MID, ~) ==> (7.767, 15.534)","Maddison (MID, v) ==> (5.567, 11.134)","Kulusevski (MID, ^) ==> (4.1, 8.2)"
MUN,0.33,2,1,"B.Fernandes (MID, ^) ==> (5.233, 2.6165)","Dalot (DEF, ~) ==> (4.133, 2.0665)","McTominay (MID, v) ==> (4.067, 2.0335)"
NFO,0.0,1,2,"Toffolo (DEF, ^^^) ==> (5.5, 5.40909)","Odysseas (GKP, ^^^) ==> (5.433, 5.34097)","Elanga (MID, ~) ==> (3.567, 3.42683)"
WHU,0.0,1,2,"Areola (GKP, v) ==> (2.9, 1.27759)","Coufal (DEF, vv) ==> (2.533, 1.06911)","Bowen (MID, ~) ==> (5.967, -0.08379)"
EVE,-2.0,0,3,"Mykolenko (DEF, ^^^) ==> (5.467, 5.19263)","Tarkowski (DEF, ~) ==> (2.967, 2.46144)","Pickford (GKP, ~) ==> (2.733, 2.18415)"
CHE,-2.33,1,2,"Palmer (MID, ~) ==> (5.3, -0.37736)","Sanchez (GKP, ~) ==> (3.133, -0.63837)","Disasi (DEF, v) ==> (2.967, -0.67408)"
SHU,-2.33,3,0,"Archer (FWD, ^^) ==> (3.6, -0.41667)","Norwood (MID, ^^^) ==> (3.033, -0.49456)","McAtee (MID, ~) ==> (2.833, -0.52947)"
WOL,-3.67,2,1,"Hee Chan (MID, ~) ==> (5.033, -0.79475)","Neto (MID, v) ==> (4.467, -0.89546)","José Sá (GKP, vv) ==> (2.633, -1.51918)"
FUL,-4.33,0,3,"Leno (GKP, ~) ==> (3.7, -1.08108)","Ream (DEF, ~) ==> (2.767, -1.44561)","Castagne (DEF, ~) ==> (2.5, -1.6)"
BUR,-5.0,2,1,"Amdouni (FWD, ~) ==> (2.033, -2.45942)","Koleosho (MID, ~) ==> (1.967, -2.54194)","Taylor (DEF, ^^^) ==> (1.967, -2.54194)"
LUT,-6.33,2,1,"Morris (FWD, v) ==> (3.267, -1.98959)","Ogbene (FWD, ~) ==> (2.8, -2.32143)","Kaboré (DEF, ^^^) ==> (2.467, -2.63478)"
BOU,-6.67,3,0,"Solanke (FWD, v) ==> (3.833, -1.56535)","Billing (MID, ^) ==> (3.6, -1.66667)","Semenyo (FWD, ^^^) ==> (3.167, -1.89454)"
