def_rank,def_tier,team,avg_GF/match,avg_def_pts/match,"avg_CS/match-log(avg_GA/match,MP)",defAdv_nxtGWs
2,1,LIV,2.26667,22.2,0.35881,9
5,3,MCI,2.4,18.6,0.22045,6
4,2,MUN,1.2,19.53333,0.266,5
10,5,BRE,1.53333,15.0,0.07575,5
3,2,NEW,2.13333,21.4,0.35378,2
12,6,CHE,1.73333,15.93333,0.02644,2
7,4,EVE,1.2,16.66667,0.16044,1
14,7,WOL,1.33333,13.4,-0.0553,1
1,1,ARS,2.2,21.53333,0.42548,0
17,9,BHA,2.13333,8.73333,-0.21705,0
6,3,CRY,0.93333,18.06667,0.20908,-1
8,4,TOT,1.93333,17.8,0.12524,-1
13,7,NFO,1.06667,14.93333,-0.01705,-1
15,8,BOU,1.2,13.2,-0.05596,-1
11,6,FUL,1.4,14.66667,0.06356,-2
16,8,WHU,1.73333,12.53333,-0.12196,-2
9,5,AVL,2.26667,16.66667,0.09377,-3
20,10,SHU,0.73333,8.0,-0.37131,-5
18,9,BUR,1.0,9.06667,-0.22448,-6
19,10,LUT,1.06667,12.53333,-0.25596,-9
