avg_rank,avg_tier,team,rank_avg,tier_avg,avg_potential_avg,med_potential_avg,avgAdv_nxtGWs
1,1,ARS,1.25,1.0,1.4466423166473121,1.5876718588276957,8.75
3,2,AVL,4.75,2.75,0.6594990457085479,0.7829519954493922,4.75
10,5,TOT,10.25,5.25,0.3427886538120545,0.11345714488322281,3.75
6,3,NEW,6.0,3.25,0.5505225890201149,0.48851387373968247,3.25
14,7,FUL,13.25,6.75,-0.0979819203803658,-0.22068733757669098,2.75
2,1,MCI,2.5,1.5,1.3722031513907766,1.258121197962101,2.0
7,4,MUN,6.75,3.75,0.16149881639550667,0.441762744708982,2.0
8,4,BHA,7.0,4.0,0.2901393795566104,0.37021341392394447,2.0
16,8,LEE,15.5,7.75,-0.5640515610250529,-0.6690348658448415,1.0
5,3,EVE,6.75,3.5,0.4525252712793921,0.5905944168855106,0.75
9,5,CHE,8.25,4.25,0.6970200997680508,0.35308512203632664,-0.75
17,9,BRE,16.75,8.75,-0.5628703004552245,-1.0914783982520928,-1.0
4,2,CRY,6.75,3.5,0.8765442147421441,0.6384540066521196,-2.0
11,6,BOU,11.0,5.75,-0.2212405935820252,0.07434841759289558,-2.0
12,6,LIV,11.5,6.0,0.022702983829752818,-0.07552594172950988,-2.0
18,9,BUR,18.0,9.5,-1.2744112577516096,-1.112046066747556,-2.75
13,7,SUN,12.25,6.5,-0.31095734469422753,-0.18877463173026873,-3.25
19,10,NFO,17.75,9.0,-0.699278712513492,-1.131975340341965,-3.75
15,8,WHU,14.25,7.5,-0.9019994407553262,-0.5817975070569981,-4.75
20,10,WOL,19.5,9.75,-2.2392953910008897,-1.6278541033708558,-8.75
