id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,^fplAdv*xPts,^defAdv*xPts,^attAdv*xPts,^avgAdv*xPts,fplAdv_nxtGWs,defAdv_nxtGWs,attAdv_nxtGWs,#OfMatches_nxtGWs,tot_xPts,gw4Pts,gw5Pts,gw6Pts,gw7Pts,gw8Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend,(tot_aPts)-(^avgAdv*xPts)
17,Bukayo,Saka,MID,ARS,24,?,"Saka (MID, ?)",8.0,8.0,8.0,30.22222222222222,0.0,23.555555555555557,26.88889,23,0,8,5,40.0,7,4,3,16,0,30,0,3↑,3.11111
4,Kai,Havertz,FWD,ARS,22,?,"Havertz (FWD, ?)",7.3,7.3,7.3,27.577777777777776,0.0,21.494444444444444,24.53611,23,0,8,5,36.5,2,2,6,8,2,20,0,4↓,-4.536110000000001
15,David,Raya Martin,GKP,ARS,20,?,"Raya (GKP, ?)",6.7,6.7,6.7,25.311111111111117,24.194444444444443,0.0,24.75278,23,20,0,5,33.5,9,4,1,2,1,17,0,5↓,-7.752780000000001
20,Thomas,Partey,MID,ARS,15,?,"Thomas (MID, ?)",5.0,5.0,5.0,18.88888888888889,0.0,14.72222222222222,16.80556,23,0,8,5,25.0,3,1,2,2,2,10,0,4↓,-6.80556
3,Gabriel,dos Santos Magalhães,DEF,ARS,14,?,"Gabriel (DEF, ?)",4.7,4.7,4.7,17.755555555555556,16.97222222222222,0.0,17.36389,23,20,0,5,23.5,15,7,1,2,1,26,0,5↑,8.636109999999999
18,William,Saliba,DEF,ARS,14,?,"Saliba (DEF, ?)",4.7,4.7,4.7,17.755555555555556,16.97222222222222,0.0,17.36389,23,20,0,5,23.5,5,1,0,2,-3,5,0,6↓,-12.363890000000001
24,Benjamin,White,DEF,ARS,14,?,"White (DEF, ?)",4.7,4.7,4.7,17.755555555555556,16.97222222222222,0.0,17.36389,23,20,0,5,23.5,6,1,0,0,0,7,0,5↓,-10.363890000000001
23,Leandro,Trossard,MID,ARS,9,?,"Trossard (MID, ?)",3.0,3.0,3.0,11.333333333333334,0.0,8.833333333333334,10.08333,23,0,8,5,15.0,3,-2,12,1,3,17,0,5↑,6.91667
6,Jurriën,Timber,DEF,ARS,8,?,"J.Timber (DEF, ?)",2.7,2.7,2.7,10.2,9.75,0.0,9.975,23,20,0,5,13.5,5,2,4,0,0,11,0,1↑,1.0250000000000004
25,Oleksandr,Zinchenko,DEF,ARS,7,?,"Zinchenko (DEF, ?)",3.5,2.3,2.9,10.955555555555556,10.472222222222223,0.0,10.71389,23,20,0,5,14.5,0,0,0,0,0,0,0,5↓,-10.71389
73,Norberto,Murara Neto,GKP,ARS,7,?,"Neto (GKP, ?)",3.5,2.3,2.9,10.955555555555556,10.472222222222223,0.0,10.71389,23,20,0,5,14.5,0,0,0,0,0,0,0,5↓,-10.71389
9,Gabriel,Martinelli Silva,MID,ARS,7,?,"Martinelli (MID, ?)",2.3,2.3,2.3,8.68888888888889,0.0,6.772222222222222,7.73056,23,0,8,5,11.5,3,5,13,6,1,28,0,7↑,20.26944
13,Martin,Ødegaard,MID,ARS,7,?,"Ødegaard (MID, ?)",2.3,2.3,2.3,8.68888888888889,0.0,6.772222222222222,7.73056,23,0,8,5,11.5,0,0,0,0,0,0,0,5↓,-7.73056
16,Declan,Rice,MID,ARS,3,?,"Rice (MID, ?)",1.0,1.0,1.0,3.7777777777777777,0.0,2.944444444444444,3.36111,23,0,8,5,5.0,0,1,2,2,2,7,0,3↑,3.63889
578,Riccardo,Calafiori,DEF,ARS,2,?,"Calafiori (DEF, ?)",1.0,0.7,0.85,3.211111111111111,3.0694444444444446,0.0,3.14028,23,20,0,5,4.25,0,9,0,2,1,12,0,5↑,8.85972
1,Fábio,Ferreira Vieira,MID,ARS,0,?,"Fábio Vieira (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,8,5,0.0,0,0,0,0,0,0,0,~,0.0
2,Gabriel,Fernando de Jesus,FWD,ARS,0,?,"G.Jesus (FWD, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,8,5,0.0,1,0,1,1,1,4,0,3↑,4.0
5,Karl,Hein,GKP,ARS,0,?,"Hein (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,20,0,5,0.0,0,0,0,0,0,0,0,~,0.0
7,Jorge Luiz,Frello Filho,MID,ARS,0,?,"Jorginho (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,8,5,0.0,2,0,0,2,0,4,0,3↑,4.0
8,Jakub,Kiwior,DEF,ARS,0,?,"Kiwior (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,20,0,5,0.0,0,1,0,1,0,2,0,2↑,2.0
12,Ethan,Nwaneri,MID,ARS,0,?,"Nwaneri (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,8,5,0.0,1,0,1,0,1,3,0,3↑,3.0
21,Kieran,Tierney,DEF,ARS,0,?,"Tierney (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,20,0,5,0.0,0,0,0,0,0,0,0,~,0.0
22,Tomiyasu,Takehiro,DEF,ARS,0,?,"Tomiyasu (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,20,0,5,0.0,0,0,0,1,0,1,0,~,1.0
186,Raheem,Sterling,MID,ARS,0,?,"Sterling (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,8,5,0.0,1,0,1,1,1,4,0,3↑,4.0
597,Myles,Lewis-Skelly,MID,ARS,0,?,"Lewis-Skelly (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,8,5,0.0,0,0,0,0,0,0,0,~,0.0
633,Mikel,Merino,MID,ARS,0,?,"Merino (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,8,5,0.0,0,0,0,1,2,3,0,3↑,3.0
638,Salah-Eddine,Oulad M'hand,MID,ARS,0,?,"Oulad M'hand (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,8,5,0.0,0,0,0,0,0,0,0,~,0.0
639,Tommy,Setford,GKP,ARS,0,?,"Setford (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,20,0,5,0.0,0,0,0,0,0,0,0,~,0.0
233,Amadou,Onana,MID,AVL,20,?,"Onana (MID, ?)",6.7,6.7,6.7,20.844444444444445,0.0,21.58888888888889,21.21667,11,0,13,5,33.5,1,2,2,0,2,7,0,6↓,-14.21667
38,Jhon,Durán,FWD,AVL,14,?,"Duran (FWD, ?)",4.7,4.7,4.7,14.622222222222222,0.0,15.144444444444444,14.88333,11,0,13,5,23.5,6,5,1,1,1,14,0,~,-0.8833300000000008
36,Lucas,Digne,DEF,AVL,11,?,"Digne (DEF, ?)",3.7,3.7,3.7,11.511111111111113,11.511111111111113,0.0,11.51111,11,11,0,5,18.5,4,1,0,8,4,17,0,4↑,5.48889
57,Youri,Tielemans,MID,AVL,10,?,"Tielemans (MID, ?)",3.3,3.3,3.3,10.266666666666667,0.0,10.633333333333333,10.45,11,0,13,5,16.5,2,5,2,3,8,20,0,5↑,9.55
58,Ollie,Watkins,FWD,AVL,9,?,"Watkins (FWD, ?)",3.0,3.0,3.0,9.333333333333334,0.0,9.666666666666668,9.5,11,0,13,5,15.0,13,6,11,2,8,40,0,7↑,30.5
