att_rank,def_rank,diff=(def-att)_rank,team,att_xPts,def_xPts,avg_(att-def)_xPts/match,attAdv_nxtGWs,defAdv_nxtGWs,delta=(att-def)Adv_nxtGWs,#OfMatches_nxtGWs,delta/#OfMatches_nxtGWs,#atts,#defs
20,13,-7,SOU,13.4352,11.6412,1.7940000000000005,-5,1,-6,1,-6.0,0,3
16,10,-6,MUN,19.9236,16.3588,3.5648000000000017,-1,5,-6,1,-6.0,0,3
12,4,-8,NFO,26.0,18.3588,7.641200000000001,-5,-1,-4,1,-4.0,0,3
13,8,-5,FUL,24.0764,13.0,11.0764,-2,2,-4,1,-4.0,0,3
11,9,-2,WHU,22.6794,17.3206,5.358800000000002,-2,2,-4,1,-4.0,0,3
2,1,-1,LIV,42.7176,32.3588,10.358799999999995,1,5,-4,1,-4.0,1,2
8,2,-6,ARS,28.9618,28.7176,0.2441999999999993,0,2,-2,1,-2.0,1,2
5,7,2,TOT,27.0382,21.6794,5.358799999999999,-2,0,-2,1,-2.0,1,2
19,15,-4,CRY,14.7176,8.6412,6.0764,-2,-1,-1,1,-1.0,1,2
14,16,2,LEI,23.9468,8.3206,15.626199999999999,1,2,-1,1,-1.0,1,2
9,5,-4,NEW,26.9618,18.2442,8.717600000000001,5,5,0,1,0.0,2,1
15,19,4,WOL,18.9086,6.2824,12.6262,-5,-5,0,1,0.0,2,1
18,18,0,IPS,16.8404,8.3588,8.481599999999998,-6,-7,1,1,1.0,2,1
4,6,2,BHA,37.1146,15.2824,21.8322,7,6,1,1,1.0,2,1
10,11,1,AVL,26.0,12.3588,13.6412,5,3,2,1,2.0,2,1
17,20,3,EVE,18.2824,4.603,13.6794,-3,-5,2,1,2.0,3,0
1,3,2,MCI,38.1146,18.6412,19.4734,5,1,4,1,4.0,3,0
6,12,6,BRE,29.6794,11.2824,18.397,-1,-5,4,1,4.0,3,0
7,14,7,BOU,29.2292,8.3206,20.9086,5,-5,10,1,10.0,3,0
3,17,14,CHE,33.8172,6.3206,27.4966,5,-5,10,1,10.0,3,0
