def_rank,def_tier,team,def_xPts,avg_GA/match,^def_xPts/avg_GA/match,defAdv_nxtGWs
6,3,BHA,15.2824,0.66667,0.70842,6
1,1,LIV,32.3588,0.0,inf,5
5,3,NEW,18.2442,0.66667,0.84571,5
10,5,MUN,16.3588,1.66667,0.30333,5
11,6,AVL,12.3588,1.33333,0.28645,3
2,1,ARS,28.7176,0.33333,2.66245,2
8,4,FUL,13.0,1.0,0.40175,2
9,5,WHU,17.3206,1.66667,0.32116,2
16,8,LEI,8.3206,1.66667,0.15428,2
3,2,MCI,18.6412,0.66667,0.86411,1
13,7,SOU,11.6412,1.66667,0.21585,1
7,4,TOT,21.6794,1.0,0.66997,0
4,2,NFO,18.3588,0.66667,0.85102,-1
15,8,CRY,8.6412,1.66667,0.16023,-1
12,6,BRE,11.2824,1.33333,0.2615,-5
14,7,BOU,8.3206,1.33333,0.19285,-5
17,9,CHE,6.3206,1.66667,0.1172,-5
19,10,WOL,6.2824,3.0,0.06472,-5
20,10,EVE,4.603,3.33333,0.04267,-5
18,9,IPS,8.3588,2.33333,0.11071,-7
