fpl_rank,fpl_tier,team,fpl_pts/match,fpl_form,fpl_xPts,fplAdv_nxtGWs
4,2,BHA,52.33333,52.5,52.397,6
6,3,NEW,45.33333,45.0,45.206,6
11,6,AVL,38.33333,38.4,38.3588,4
1,1,LIV,75.0,75.2,75.0764,3
2,1,ARS,57.66667,57.7,57.6794,2
3,2,MCI,56.66667,56.9,56.7558,2
10,5,WHU,40.0,40.0,40.0,2
14,7,MUN,36.33333,36.2,36.2824,2
15,8,LEI,32.0,32.7,32.2674,2
9,5,CHE,39.66667,40.9,40.1378,1
12,6,BOU,37.33333,37.9,37.5498,-1
5,3,TOT,48.66667,48.8,48.7176,-2
8,4,BRE,41.0,40.9,40.9618,-2
13,7,FUL,37.0,37.2,37.0764,-2
18,9,SOU,25.0,25.2,25.0764,-2
19,10,CRY,23.33333,23.4,23.3588,-2
7,4,NFO,44.33333,44.4,44.3588,-3
20,10,EVE,23.0,22.7,22.8854,-4
16,8,IPS,24.33333,26.6,25.1992,-6
17,9,WOL,25.0,25.5,25.191,-6
