att_rank,att_tier,team,avg_GF/match,avg_GA/match,avg_CS/match,att_adv_nxt2GWs
2,1,ARS,2.4,0.96667,0.4,7
5,2,LIV,1.72414,1.2069,0.37931,5
1,1,MCI,2.58621,0.93103,0.34483,4
4,1,TOT,1.83333,1.4,0.3,3
10,3,FUL,1.34483,1.37931,0.27586,3
8,2,MUN,1.51724,1.27586,0.44828,2
3,1,BHA,1.85714,1.28571,0.32143,1
6,2,NEW,1.65517,0.72414,0.44828,1
7,2,BRE,1.56667,1.33333,0.3,1
14,4,CRY,0.96667,1.33333,0.2,1
11,3,LEI,1.33333,1.73333,0.2,-1
15,4,BOU,0.93333,1.9,0.23333,-1
9,3,AVL,1.36667,1.33333,0.33333,-2
12,3,LEE,1.3,1.8,0.16667,-2
13,4,CHE,0.96667,1.03333,0.33333,-2
17,5,WOL,0.8,1.4,0.26667,-2
20,5,EVE,0.76667,1.43333,0.23333,-2
16,4,WHU,0.93103,1.34483,0.24138,-3
18,5,SOU,0.8,1.7,0.13333,-4
19,5,NFO,0.8,1.8,0.23333,-8
