team,att_adv_nxt2GWs,attPlayer1,attPlayer2,attPlayer3,attPlayer4,attPlayer5
ARS,7,Martinelli (MID) ==> 6.633,Saka (MID) ==> 6.033,Jesus (FWD) ==> 5.567,Xhaka (MID) ==> 4.7,Trossard (MID) ==> 4.433
LIV,5,Salah (MID) ==> 5.133,Firmino (FWD) ==> 3.733,Gakpo (MID) ==> 3.1,Diogo Jota (FWD) ==> 2.467,Henderson (MID) ==> 2.367
MCI,4,De Bruyne (MID) ==> 7.4,Haaland (FWD) ==> 7.333,Grealish (MID) ==> 7.067,Álvarez (FWD) ==> 4.7,Gündogan (MID) ==> 3.9
TOT,3,Kane (FWD) ==> 6.833,Son (MID) ==> 4.333,Kulusevski (MID) ==> 3.4,Højbjerg (MID) ==> 3.3,Skipp (MID) ==> 1.833
FUL,3,Andreas (MID) ==> 3.8,Reed (MID) ==> 2.867,Solomon (MID) ==> 2.633,Palhinha (MID) ==> 2.467,De Cordova-Reid (MID) ==> 2.433
MUN,2,Rashford (MID) ==> 6.0,Fernandes (MID) ==> 3.767,Sancho (MID) ==> 3.767,Sabitzer (MID) ==> 2.9,McTominay (MID) ==> 2.633
BHA,1,Mitoma (MID) ==> 5.033,March (MID) ==> 4.867,Mac Allister (MID) ==> 4.033,Welbeck (FWD) ==> 2.867,Enciso (FWD) ==> 2.2
NEW,1,Isak (FWD) ==> 5.5,Wilson (FWD) ==> 4.867,Willock (MID) ==> 4.067,Joelinton (MID) ==> 4.0,Bruno Guimarães (MID) ==> 3.333
BRE,1,Toney (FWD) ==> 5.2,Jensen (MID) ==> 4.133,Mbeumo (FWD) ==> 3.433,Nørgaard (MID) ==> 2.833,Wissa (MID) ==> 2.2
CRY,1,Olise (MID) ==> 4.4,J.Ayew (MID) ==> 3.833,Eze (MID) ==> 3.767,Schlupp (MID) ==> 3.4,Edouard (FWD) ==> 2.7
