att_rank,def_rank,diff=(def-att)_rank,team,avg_GF/match,avg_GA/match,(avg_GF/match)-1/(avg_GA/match),att_adv_nxt2GWs,def_adv_nxt2GWs,delta=(att-def)_adv_nxt2GWs,#OfMatches_nxt2GWs,delta/#OfMatches_nxt2GWs,#atts,#defs
8,2,-6,MUN,1.51724,1.27586,0.7334549452134246,2,4,-2,1,-2.0,0,3
19,15,-4,NFO,0.8,1.8,0.24444444444444446,-8,-4,-4,2,-2.0,0,3
13,6,-7,CHE,0.96667,1.03333,-0.001075057242119981,-2,-1,-1,1,-1.0,0,3
9,7,-2,AVL,1.36667,1.33333,0.6166681249953125,-2,0,-2,2,-1.0,0,3
3,8,5,BHA,1.85714,1.28571,1.0793596296209875,1,2,-1,1,-1.0,0,3
20,14,-6,EVE,0.76667,1.43333,0.06899395889292759,-2,-1,-1,2,-0.5,1,2
17,12,-5,WOL,0.8,1.4,0.08571428571428574,-2,-1,-1,2,-0.5,1,2
6,1,-5,NEW,1.65517,0.72414,0.27422156461457736,1,2,-1,2,-0.5,1,2
5,4,-1,LIV,1.72414,1.2069,0.8955709387687465,5,6,-1,2,-0.5,1,2
7,9,2,BRE,1.56667,1.33333,0.8166681249953125,1,2,-1,2,-0.5,1,2
16,13,-3,WHU,0.93103,1.34483,0.18744159105611857,-3,-3,0,2,0.0,2,1
2,3,1,ARS,2.4,0.96667,1.3655208085489359,7,7,0,2,0.0,2,1
10,11,1,FUL,1.34483,1.37931,0.6198298187499547,3,2,1,2,0.5,2,1
18,20,2,SOU,0.8,1.7,0.21176470588235297,-4,-5,1,2,0.5,2,1
14,17,3,CRY,0.96667,1.33333,0.21666812499531252,1,0,1,2,0.5,2,1
15,16,1,BOU,0.93333,1.9,0.4070142105263158,-1,-3,2,2,1.0,3,0
4,10,6,TOT,1.83333,1.4,1.1190442857142857,3,0,3,2,1.5,3,0
12,19,7,LEE,1.3,1.8,0.7444444444444445,-2,-5,3,2,1.5,3,0
11,18,7,LEI,1.33333,1.73333,0.7564058136073338,-1,-4,3,2,1.5,3,0
1,5,4,MCI,2.58621,0.93103,1.512130754433262,4,1,3,1,3.0,3,0
