avg_rank,avg_tier,team,def_adv_nxt2GWs,fpl_adv_nxt2GWs,att_adv_nxt2GWs,avg_adv_nxt2GWs
1,1,ARS,7,6,7,6.67
2,1,LIV,6,5,5,5.33
3,1,MUN,4,4,2,3.33
4,1,MCI,1,3,4,2.67
5,2,FUL,2,1,3,2.0
6,2,CRY,0,4,1,1.67
7,2,NEW,2,2,1,1.67
8,2,TOT,0,2,3,1.67
9,3,BHA,2,1,1,1.33
10,3,BRE,2,0,1,1.0
11,3,AVL,0,0,-2,-0.67
12,3,CHE,-1,-1,-2,-1.33
13,4,WOL,-1,-1,-2,-1.33
14,4,WHU,-3,0,-3,-2.0
15,4,EVE,-1,-3,-2,-2.0
16,4,LEI,-4,-3,-1,-2.67
17,5,LEE,-5,-2,-2,-3.0
18,5,BOU,-3,-5,-1,-3.0
19,5,SOU,-5,-6,-4,-5.0
20,5,NFO,-4,-7,-8,-6.33
