team,avg_adv_nxt2GWs,#atts,#defs,Player1,Player2,Player3
ARS,6.67,2,1,Martinelli (MID) ==> 6.633,Saka (MID) ==> 6.033,White (DEF) ==> 4.3
LIV,5.33,1,2,Salah (MID) ==> 5.133,Alisson (GKP) ==> 3.933,Alexander-Arnold (DEF) ==> 2.967
MUN,3.33,0,3,De Gea (GKP) ==> 4.3,Martínez (DEF) ==> 4.0,Dalot (DEF) ==> 3.233
MCI,2.67,3,0,De Bruyne (MID) ==> 7.4,Haaland (FWD) ==> 7.333,Grealish (MID) ==> 7.067
FUL,2.0,2,1,Andreas (MID) ==> 3.8,Leno (GKP) ==> 3.5,Reed (MID) ==> 2.867
CRY,1.67,2,1,Olise (MID) ==> 4.4,J.Ayew (MID) ==> 3.833,Johnstone (GKP) ==> 3.1
NEW,1.67,1,2,Isak (FWD) ==> 5.5,Trippier (DEF) ==> 5.433,Pope (GKP) ==> 4.733
TOT,1.67,3,0,Kane (FWD) ==> 6.833,Son (MID) ==> 4.333,Kulusevski (MID) ==> 3.4
BHA,1.33,0,3,Steele (GKP) ==> 4.367,Dunk (DEF) ==> 3.8,Estupiñán (DEF) ==> 3.233
BRE,1.0,1,2,Toney (FWD) ==> 5.2,Raya (GKP) ==> 3.7,Pinnock (DEF) ==> 3.267
