def_rank,def_tier,team,avg_CS/match,avg_GA/match,avg_GF/match,def_adv_nxt2GWs
3,1,ARS,0.4,0.96667,2.4,7
4,1,LIV,0.37931,1.2069,1.72414,6
2,1,MUN,0.44828,1.27586,1.51724,4
1,1,NEW,0.44828,0.72414,1.65517,2
8,2,BHA,0.32143,1.28571,1.85714,2
9,3,BRE,0.3,1.33333,1.56667,2
11,3,FUL,0.27586,1.37931,1.34483,2
5,2,MCI,0.34483,0.93103,2.58621,1
7,2,AVL,0.33333,1.33333,1.36667,0
10,3,TOT,0.3,1.4,1.83333,0
17,5,CRY,0.2,1.33333,0.96667,0
6,2,CHE,0.33333,1.03333,0.96667,-1
12,3,WOL,0.26667,1.4,0.8,-1
14,4,EVE,0.23333,1.43333,0.76667,-1
13,4,WHU,0.24138,1.34483,0.93103,-3
16,4,BOU,0.23333,1.9,0.93333,-3
15,4,NFO,0.23333,1.8,0.8,-4
18,5,LEI,0.2,1.73333,1.33333,-4
19,5,LEE,0.16667,1.8,1.3,-5
20,5,SOU,0.13333,1.7,0.8,-5
