team,def_adv_nxt2GWs,defPlayer1,defPlayer2,defPlayer3,defPlayer4,defPlayer5
ARS,7,White (DEF) ==> 4.3,Gabriel (DEF) ==> 3.367,Ramsdale (GKP) ==> 3.367,Zinchenko (DEF) ==> 3.233,Tierney (DEF) ==> 1.667
LIV,6,Alisson (GKP) ==> 3.933,Alexander-Arnold (DEF) ==> 2.967,Gomez (DEF) ==> 2.933,Konaté (DEF) ==> 2.5,Tsimikas (DEF) ==> 2.4
MUN,4,De Gea (GKP) ==> 4.3,Martínez (DEF) ==> 4.0,Dalot (DEF) ==> 3.233,Malacia (DEF) ==> 3.167,Varane (DEF) ==> 3.0
NEW,2,Trippier (DEF) ==> 5.433,Pope (GKP) ==> 4.733,Schär (DEF) ==> 4.2,Botman (DEF) ==> 3.6,Burn (DEF) ==> 3.333
BHA,2,Steele (GKP) ==> 4.367,Dunk (DEF) ==> 3.8,Estupiñán (DEF) ==> 3.233,Veltman (DEF) ==> 3.167,Webster (DEF) ==> 2.967
BRE,2,Raya (GKP) ==> 3.7,Pinnock (DEF) ==> 3.267,Mee (DEF) ==> 3.033,Henry (DEF) ==> 2.9,Jansson (DEF) ==> 2.533
FUL,2,Leno (GKP) ==> 3.5,Ream (DEF) ==> 2.567,Robinson (DEF) ==> 2.2,Tosin (DEF) ==> 1.733,Cédric (DEF) ==> 1.3
MCI,1,Ederson (GKP) ==> 3.0,Stones (DEF) ==> 2.867,Aké (DEF) ==> 2.667,Akanji (DEF) ==> 2.667,Dias (DEF) ==> 2.667
AVL,0,Martínez (GKP) ==> 5.167,Mings (DEF) ==> 4.8,Álex Moreno (DEF) ==> 4.133,Konsa (DEF) ==> 3.467,Young (DEF) ==> 3.467
TOT,0,Pedro Porro (DEF) ==> 3.5,Perišić (DEF) ==> 3.333,Lloris (GKP) ==> 3.2,Lenglet (DEF) ==> 2.967,Romero (DEF) ==> 2.467
