team,fpl_adv_nxt2GWs,fplPlayer1,fplPlayer2,fplPlayer3,fplpPlayer4,fplPlayer5
ARS,6,Martinelli (MID) ==> 6.633,Saka (MID) ==> 6.033,Jesus (FWD) ==> 5.567,Ødegaard (MID) ==> 4.833,Xhaka (MID) ==> 4.7
LIV,5,Salah (MID) ==> 5.133,Alisson (GKP) ==> 3.933,Firmino (FWD) ==> 3.733,Gomez (DEF) ==> 2.933,Konaté (DEF) ==> 2.5
MUN,4,Rashford (MID) ==> 6.0,De Gea (GKP) ==> 4.3,Martínez (DEF) ==> 4.0,Sancho (MID) ==> 3.767,Malacia (DEF) ==> 3.167
CRY,4,Olise (MID) ==> 4.4,J.Ayew (MID) ==> 3.833,Eze (MID) ==> 3.767,Schlupp (MID) ==> 3.4,Edouard (FWD) ==> 2.7
MCI,3,De Bruyne (MID) ==> 7.4,Haaland (FWD) ==> 7.333,Grealish (MID) ==> 7.067,Álvarez (FWD) ==> 4.7,Gündogan (MID) ==> 3.9
NEW,2,Isak (FWD) ==> 5.5,Trippier (DEF) ==> 5.433,Wilson (FWD) ==> 4.867,Pope (GKP) ==> 4.733,Schär (DEF) ==> 4.2
TOT,2,Kane (FWD) ==> 6.833,Son (MID) ==> 4.333,Pedro Porro (DEF) ==> 3.5,Kulusevski (MID) ==> 3.4,Perišić (DEF) ==> 3.333
BHA,1,Mitoma (MID) ==> 5.033,March (MID) ==> 4.867,Steele (GKP) ==> 4.367,Mac Allister (MID) ==> 4.033,Dunk (DEF) ==> 3.8
FUL,1,Andreas (MID) ==> 3.8,Leno (GKP) ==> 3.5,Reed (MID) ==> 2.867,Solomon (MID) ==> 2.633,Ream (DEF) ==> 2.567
AVL,0,Watkins (FWD) ==> 5.6,Martínez (GKP) ==> 5.167,Mings (DEF) ==> 4.8,Ramsey (MID) ==> 4.133,Álex Moreno (DEF) ==> 4.133
