fpl_rank,fpl_tier,team,avg_pts/match,form,xPts,fpl_adv_nxt2GWs
1,1,ARS,59.56667,52.8,58.21334,6
8,2,LIV,46.41379,34.4,44.01103,5
4,1,MUN,47.37931,51.5,48.20345,4
12,3,CRY,36.23333,42.8,37.54666,4
2,1,MCI,53.86207,57.5,54.58966,3
3,1,NEW,51.89655,55.3,52.57724,2
7,2,TOT,45.93333,39.3,44.60666,2
6,2,BHA,44.53571,48.4,45.30857,1
13,4,FUL,40.37931,26.0,37.50345,1
5,2,AVL,41.46667,65.1,46.19334,0
9,3,BRE,44.6,33.5,42.38,0
10,3,WHU,39.0,48.9,40.98,0
11,3,CHE,39.1,32.9,37.86,-1
14,4,WOL,35.9,38.0,36.32,-1
16,4,LEE,35.86667,33.3,35.35334,-2
15,4,LEI,37.46667,27.6,35.49334,-3
19,5,EVE,33.46667,30.7,32.91334,-3
17,5,BOU,35.03333,33.6,34.74666,-5
20,5,SOU,32.43333,33.1,32.56666,-6
18,5,NFO,35.53333,24.0,33.22666,-7
