id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,#OfMatches_nxtGWs,tot_xPts,gw31Pts,gw32Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend
19,Gabriel,Martinelli Silva,MID,ARS,175,?,Martinelli (MID),5.8,8.3,6.633,2,13.266,5,9,14,1.05533,~
13,Bukayo,Saka,MID,ARS,172,?,Saka (MID),5.7,6.7,6.033,2,12.066,0,13,13,1.07741,~
28,Gabriel,Fernando de Jesus,FWD,ARS,90,?,Jesus (FWD),5.0,6.7,5.567,2,11.134,7,2,9,0.80833,~
3,Granit,Xhaka,MID,ARS,116,?,Xhaka (MID),3.9,6.3,4.7,2,9.4,2,0,2,0.21277,vv
10,Benjamin,White,DEF,ARS,129,?,White (DEF),4.3,4.3,4.3,2,8.6,6,4,10,1.16279,~
111,Leandro,Trossard,MID,ARS,133,?,Trossard (MID),4.8,3.7,4.433,2,8.866,1,1,2,0.22558,vv
7,Martin,Ødegaard,MID,ARS,161,?,Ødegaard (MID),5.6,3.3,4.833,2,9.666,10,7,17,1.75874,^^
15,Aaron,Ramsdale,GKP,ARS,116,?,Ramsdale (GKP),3.9,2.3,3.367,2,6.734,1,2,3,0.4455,v
8,Kieran,Tierney,DEF,ARS,31,?,Tierney (DEF),1.5,2.0,1.667,2,3.334,1,0,1,0.29994,vv
16,Gabriel,dos Santos Magalhães,DEF,ARS,127,?,Gabriel (DEF),4.2,1.7,3.367,2,6.734,1,1,2,0.297,vv
313,Oleksandr,Zinchenko,DEF,ARS,91,?,Zinchenko (DEF),4.0,1.7,3.233,2,6.466,0,0,0,0.0,vv
6,Thomas,Partey,MID,ARS,75,?,Partey (MID),3.0,1.7,2.567,2,5.134,1,2,3,0.58434,v
5,Rob,Holding,DEF,ARS,12,?,Holding (DEF),1.2,1.7,1.367,2,2.734,1,1,2,0.73153,~
130,Jorge Luiz,Frello Filho,MID,ARS,63,?,Jorginho (MID),2.5,0.7,1.9,2,3.8,1,0,1,0.26316,vv
12,Emile,Smith Rowe,MID,ARS,12,?,Smith Rowe (MID),1.3,0.7,1.1,2,2.2,0,0,0,0.0,vv
