team,defAdv_nxtGWs,defPlayer1,defPlayer2,defPlayer3,defPlayer4,defPlayer5
LIV,8,"Bradley (DEF, ?) ==> (2.25, 2.125)","Alexander-Arnold (DEF, ?) ==> (2.2, 2.078)","A.Becker (GKP, ?) ==> (1.9, 1.794)","Tsimikas (DEF, ?) ==> (1.85, 1.747)","Kelleher (GKP, ?) ==> (1.7, 1.606)"
NEW,8,"Trippier (DEF, ?) ==> (2.0, 1.889)","Pope (GKP, ?) ==> (1.9, 1.794)","Schär (DEF, ?) ==> (1.7, 1.606)","Dúbravka (GKP, ?) ==> (1.65, 1.558)","Botman (DEF, ?) ==> (1.5, 1.417)"
ARS,7,"White (DEF, ?) ==> (2.45, 2.178)","Saliba (DEF, ?) ==> (2.15, 1.911)","Raya (GKP, ?) ==> (2.1, 1.867)","Gabriel (DEF, ?) ==> (2.05, 1.822)","Zinchenko (DEF, ?) ==> (1.95, 1.733)"
TOT,6,"Pedro Porro (DEF, ?) ==> (1.95, 1.625)","Romero (DEF, ?) ==> (1.6, 1.333)","Van de Ven (DEF, ?) ==> (1.5, 1.25)","Reguilón (DEF, ?) ==> (1.5, 1.25)","Vicario (GKP, ?) ==> (1.45, 1.208)"
BOU,3,"Travers (GKP, ?) ==> (2.4, 1.6)","Neto (GKP, ?) ==> (1.7, 1.133)","Senesi (DEF, ?) ==> (1.65, 1.1)","Smith (DEF, ?) ==> (1.45, 0.967)","Zabarnyi (DEF, ?) ==> (1.15, 0.767)"
MCI,2,"Gvardiol (DEF, ?) ==> (2.2, 1.344)","Walker (DEF, ?) ==> (1.9, 1.161)","Akanji (DEF, ?) ==> (1.85, 1.131)","Ederson M. (GKP, ?) ==> (1.7, 1.039)","Aké (DEF, ?) ==> (1.7, 1.039)"
EVE,2,"Pickford (GKP, ?) ==> (2.0, 1.222)","Mykolenko (DEF, ?) ==> (1.8, 1.1)","Branthwaite (DEF, ?) ==> (1.75, 1.069)","Tarkowski (DEF, ?) ==> (1.55, 0.947)","Young (DEF, ?) ==> (1.25, 0.764)"
CRY,2,"Muñoz (DEF, ?) ==> (1.75, 1.069)","Johnstone (GKP, ?) ==> (1.7, 1.039)","Andersen (DEF, ?) ==> (1.6, 0.978)","Mitchell (DEF, ?) ==> (1.6, 0.978)","Clyne (DEF, ?) ==> (1.35, 0.825)"
MUN,2,"Onana (GKP, ?) ==> (1.75, 1.069)","Maguire (DEF, ?) ==> (1.65, 1.008)","Lindelof (DEF, ?) ==> (1.65, 1.008)","Dalot (DEF, ?) ==> (1.55, 0.947)","Shaw (DEF, ?) ==> (1.3, 0.794)"
AVL,0,"Martinez (GKP, ?) ==> (1.7, 0.85)","Olsen (GKP, ?) ==> (1.7, 0.85)","Pau (DEF, ?) ==> (1.45, 0.725)","Konsa (DEF, ?) ==> (1.3, 0.65)","Digne (DEF, ?) ==> (1.3, 0.65)"
