id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,^fplAdv*xPts,^defAdv*xPts,^attAdv*xPts,^avgAdv*xPts,fplAdv_nxtGWs,defAdv_nxtGWs,attAdv_nxtGWs,#OfMatches_nxtGWs,tot_xPts,gw1Pts,gw2Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend
17,Bukayo,Saka,MID,ARS,226,?,"Saka (MID, ?)",6.5,0.0,3.25,5.055555555555555,0.0,5.055555555555555,5.05556,10,0,10,2,6.5,0,0,0,0,?
13,Martin,Ødegaard,MID,ARS,186,?,"Ødegaard (MID, ?)",5.3,0.0,2.65,4.122222222222222,0.0,4.122222222222222,4.12222,10,0,10,2,5.3,0,0,0,0,?
24,Benjamin,White,DEF,ARS,182,?,"White (DEF, ?)",4.9,0.0,2.45,3.8111111111111113,3.8111111111111113,0.0,3.81111,10,10,0,2,4.9,0,0,0,0,?
4,Kai,Havertz,FWD,ARS,180,?,"Havertz (FWD, ?)",4.9,0.0,2.45,3.8111111111111113,0.0,3.8111111111111113,3.81111,10,0,10,2,4.9,0,0,0,0,?
16,Declan,Rice,MID,ARS,165,?,"Rice (MID, ?)",4.3,0.0,2.15,3.344444444444444,0.0,3.344444444444444,3.34444,10,0,10,2,4.3,0,0,0,0,?
18,William,Saliba,DEF,ARS,164,?,"Saliba (DEF, ?)",4.3,0.0,2.15,3.344444444444444,3.344444444444444,0.0,3.34444,10,10,0,2,4.3,0,0,0,0,?
15,David,Raya Martin,GKP,ARS,135,?,"Raya (GKP, ?)",4.2,0.0,2.1,3.2666666666666666,3.2666666666666666,0.0,3.26667,10,10,0,2,4.2,0,0,0,0,?
3,Gabriel,dos Santos Magalhães,DEF,ARS,149,?,"Gabriel (DEF, ?)",4.1,0.0,2.05,3.188888888888888,3.188888888888888,0.0,3.18889,10,10,0,2,4.1,0,0,0,0,?
23,Leandro,Trossard,MID,ARS,138,?,"Trossard (MID, ?)",4.1,0.0,2.05,3.188888888888888,0.0,3.188888888888888,3.18889,10,0,10,2,4.1,0,0,0,0,?
25,Oleksandr,Zinchenko,DEF,ARS,104,?,"Zinchenko (DEF, ?)",3.9,0.0,1.95,3.033333333333333,3.033333333333333,0.0,3.03333,10,10,0,2,3.9,0,0,0,0,?
9,Gabriel,Martinelli Silva,MID,ARS,118,?,"Martinelli (MID, ?)",3.4,0.0,1.7,2.6444444444444444,0.0,2.6444444444444444,2.64444,10,0,10,2,3.4,0,0,0,0,?
