def_rank,def_tier,team,def_xPts,avg_GA/match,def_potential,defAdv_nxtGWs
4,2,MUN,23.9703,1.25,0.8065854,7
2,1,LIV,26.1961,0.25,1.4942701,4
5,3,BHA,16.5085,0.5,0.5254379,4
11,6,IPS,17.0263,1.75,-0.0461598,4
10,5,CHE,15.455,1.25,0.063422,3
7,4,NEW,16.6265,0.75,0.4123786,2
14,7,AVL,11.0017,1.5,-0.4485924,2
17,9,SOU,10.0764,2.0,-0.7760622,1
1,1,ARS,30.8124,0.25,1.8971526,0
3,2,NFO,24.91,0.5,1.2586695,0
6,3,TOT,18.2691,1.0,0.4323771,0
8,4,MCI,15.8591,0.75,0.3454047,0
16,8,CRY,9.1893,1.75,-0.7301253,-1
18,9,LEI,7.1944,1.75,-0.9042279,-1
12,6,FUL,12.5365,1.0,-0.0679292,-2
9,5,WHU,16.9533,1.5,0.0708269,-3
15,8,BRE,9.3888,1.5,-0.5893565,-3
20,10,EVE,5.1129,3.25,-1.8260342,-4
13,7,BOU,9.691,1.25,-0.4396247,-6
19,10,WOL,6.2691,2.75,-1.4784129,-7
