id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,^fplAdv*xPts,^defAdv*xPts,^attAdv*xPts,^avgAdv*xPts,fplAdv_nxtGWs,defAdv_nxtGWs,attAdv_nxtGWs,#OfMatches_nxtGWs,tot_xPts,gw5Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend
3,Gabriel,dos Santos Magalhães,DEF,ARS,29,^^^,"Gabriel (DEF, ^^^)",7.2,7.7,7.45,4.138888888888889,3.725,0.0,3.9319444,1,0,0,1,7.45,0,0,0,?
15,David,Raya Martin,GKP,ARS,29,~,"Raya (GKP, ~)",7.2,7.0,7.1,3.9444444444444446,3.55,0.0,3.7472222,1,0,0,1,7.1,0,0,0,?
17,Bukayo,Saka,MID,ARS,31,~,"Saka (MID, ~)",7.8,6.3,7.05,3.916666666666667,0.0,3.525,3.7208333,1,0,0,1,7.05,0,0,0,?
20,Thomas,Partey,MID,ARS,18,v,"Thomas (MID, v)",4.5,5.0,4.75,2.638888888888889,0.0,2.375,2.5069444,1,0,0,1,4.75,0,0,0,?
24,Benjamin,White,DEF,ARS,20,~,"White (DEF, ~)",5.0,4.7,4.85,2.694444444444444,2.425,0.0,2.5597222,1,0,0,1,4.85,0,0,0,?
18,William,Saliba,DEF,ARS,19,~,"Saliba (DEF, ~)",4.8,4.3,4.55,2.5277777777777777,2.275,0.0,2.4013889,1,0,0,1,4.55,0,0,0,?
4,Kai,Havertz,FWD,ARS,24,vv,"Havertz (FWD, vv)",6.0,4.0,5.0,2.7777777777777777,0.0,2.5,2.6388889,1,0,0,1,5.0,0,0,0,?
6,Jurriën,Timber,DEF,ARS,13,^^,"J.Timber (DEF, ^^)",3.2,4.0,3.6,2.0,1.8,0.0,1.9,1,0,0,1,3.6,0,0,0,?
23,Leandro,Trossard,MID,ARS,12,~,"Trossard (MID, ~)",3.0,3.7,3.35,1.8611111111111112,0.0,1.675,1.7680556,1,0,0,1,3.35,0,0,0,?
9,Gabriel,Martinelli Silva,MID,ARS,10,~,"Martinelli (MID, ~)",2.5,2.3,2.4,1.3333333333333333,0.0,1.2,1.2666667,1,0,0,1,2.4,0,0,0,?
13,Martin,Ødegaard,MID,ARS,7,vv,"Ødegaard (MID, vv)",2.3,1.3,1.8,1.0,0.0,0.9,0.95,1,0,0,1,1.8,0,0,0,?
73,Norberto,Murara Neto,GKP,ARS,7,vv,"Neto (GKP, vv)",3.5,1.0,2.25,1.25,1.125,0.0,1.1875,1,0,0,1,2.25,0,0,0,?
7,Jorge Luiz,Frello Filho,MID,ARS,2,^^^,"Jorginho (MID, ^^^)",2.0,0.7,1.35,0.7500000000000001,0.0,0.675,0.7125,1,0,0,1,1.35,0,0,0,?
578,Riccardo,Calafiori,DEF,ARS,2,vv,"Calafiori (DEF, vv)",1.0,0.7,0.85,0.4722222222222222,0.425,0.0,0.4486111,1,0,0,1,0.85,0,0,0,?
25,Oleksandr,Zinchenko,DEF,ARS,7,vv,"Zinchenko (DEF, vv)",3.5,0.3,1.9,1.0555555555555556,0.95,0.0,1.0027778,1,0,0,1,1.9,0,0,0,?
12,Ethan,Nwaneri,MID,ARS,1,^^^,"Nwaneri (MID, ^^^)",1.0,0.3,0.65,0.36111111111111116,0.0,0.325,0.3430556,1,0,0,1,0.65,0,0,0,?
186,Raheem,Sterling,MID,ARS,1,^^^,"Sterling (MID, ^^^)",1.0,0.3,0.65,0.36111111111111116,0.0,0.325,0.3430556,1,0,0,1,0.65,0,0,0,?
2,Gabriel,Fernando de Jesus,FWD,ARS,1,^^^,"G.Jesus (FWD, ^^^)",0.5,0.3,0.4,0.22222222222222224,0.0,0.2,0.2111111,1,0,0,1,0.4,0,0,0,?
16,Declan,Rice,MID,ARS,3,vv,"Rice (MID, vv)",1.0,0.0,0.5,0.2777777777777778,0.0,0.25,0.2638889,1,0,0,1,0.5,0,0,0,?
1,Fábio,Ferreira Vieira,MID,ARS,0,?,"Fábio Vieira (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0.0,0,0,0,?
5,Karl,Hein,GKP,ARS,0,?,"Hein (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0.0,0,0,0,?
8,Jakub,Kiwior,DEF,ARS,0,?,"Kiwior (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0.0,0,0,0,?
21,Kieran,Tierney,DEF,ARS,0,?,"Tierney (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0.0,0,0,0,?
22,Tomiyasu,Takehiro,DEF,ARS,0,?,"Tomiyasu (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0.0,0,0,0,?
597,Myles,Lewis-Skelly,MID,ARS,0,?,"Lewis-Skelly (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0.0,0,0,0,?
633,Mikel,Merino,MID,ARS,0,?,"Merino (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0.0,0,0,0,?
638,Salah-Eddine,Oulad M'hand,MID,ARS,0,?,"Oulad M'hand (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0.0,0,0,0,?
639,Tommy,Setford,GKP,ARS,0,?,"Setford (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0.0,0,0,0,?
657,Maldini,Kacurri,DEF,ARS,0,?,"Kacurri (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0.0,0,0,0,?
658,Ayden,Heaven,DEF,ARS,0,?,"Heaven (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0.0,0,0,0,?
659,Ismeal,Kabia,MID,ARS,0,?,"Kabia (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0.0,0,0,0,?
58,Ollie,Watkins,FWD,AVL,22,^^^,"Watkins (FWD, ^^^)",5.5,6.7,6.1,4.066666666666666,0.0,5.422222222222222,4.7444444,3,0,7,1,6.1,0,0,0,?
38,Jhon,Durán,FWD,AVL,20,~,"Duran (FWD, ~)",5.0,4.7,4.85,3.233333333333333,0.0,4.311111111111111,3.7722222,3,0,7,1,4.85,0,0,0,?
36,Lucas,Digne,DEF,AVL,15,~,"Digne (DEF, ~)",3.8,4.3,4.05,2.6999999999999997,2.475,0.0,2.5875,3,2,0,1,4.05,0,0,0,?
233,Amadou,Onana,MID,AVL,21,vv,"Onana (MID, vv)",5.2,3.7,4.45,2.966666666666667,0.0,3.9555555555555557,3.4611111,3,0,7,1,4.45,0,0,0,?
48,John,McGinn,MID,AVL,8,~,"McGinn (MID, ~)",2.0,2.0,2.0,1.3333333333333333,0.0,1.7777777777777777,1.5555556,3,0,7,1,2.0,0,0,0,?
54,Morgan,Rogers,MID,AVL,8,~,"Rogers (MID, ~)",2.0,2.0,2.0,1.3333333333333333,0.0,1.7777777777777777,1.5555556,3,0,7,1,2.0,0,0,0,?
29,Ross,Barkley,MID,AVL,6,^^^,"Barkley (MID, ^^^)",2.0,2.0,2.0,1.3333333333333333,0.0,1.7777777777777777,1.5555556,3,0,7,1,2.0,0,0,0,?
57,Youri,Tielemans,MID,AVL,12,v,"Tielemans (MID, v)",3.0,1.7,2.35,1.5666666666666667,0.0,2.088888888888889,1.8277778,3,0,7,1,2.35,0,0,0,?
53,Jacob,Ramsey,MID,AVL,9,~,"Ramsey (MID, ~)",2.2,1.7,1.95,1.2999999999999998,0.0,1.7333333333333332,1.5166667,3,0,7,1,1.95,0,0,0,?
44,Ezri,Konsa Ngoyo,DEF,AVL,6,v,"Konsa (DEF, v)",1.5,1.3,1.4,0.9333333333333332,0.8555555555555556,0.0,0.8944444,3,2,0,1,1.4,0,0,0,?
52,Pau,Torres,DEF,AVL,6,v,"Pau (DEF, v)",1.5,1.3,1.4,0.9333333333333332,0.8555555555555556,0.0,0.8944444,3,2,0,1,1.4,0,0,0,?
47,Emiliano,Martínez Romero,GKP,AVL,6,vv,"Martinez (GKP, vv)",1.5,1.0,1.25,0.8333333333333333,0.763888888888889,0.0,0.7986111,3,2,0,1,1.25,0,0,0,?
28,Leon,Bailey,MID,AVL,4,vv,"Bailey (MID, vv)",1.3,1.0,1.15,0.7666666666666666,0.0,1.0222222222222221,0.8944444,3,0,7,1,1.15,0,0,0,?
45,Ian,Maatsen,DEF,AVL,4,~,"Maatsen (DEF, ~)",1.0,1.0,1.0,0.6666666666666666,0.6111111111111112,0.0,0.6388889,3,2,0,1,1.0,0,0,0,?
50,Kosta,Nedeljković,DEF,AVL,3,vv,"Nedeljkovic (DEF, vv)",1.0,0.7,0.85,0.5666666666666667,0.5194444444444445,0.0,0.5430556,3,2,0,1,0.85,0,0,0,?
598,Lamare,Bogarde,DEF,AVL,2,^,"Bogarde (DEF, ^)",1.0,0.7,0.85,0.5666666666666667,0.5194444444444445,0.0,0.5430556,3,2,0,1,0.85,0,0,0,?
32,Matty,Cash,DEF,AVL,3,vv,"Cash (DEF, vv)",1.5,0.3,0.9,0.6,0.55,0.0,0.575,3,2,0,1,0.9,0,0,0,?
31,Emiliano,Buendía Stati,MID,AVL,1,^^^,"Buendia (MID, ^^^)",1.0,0.3,0.65,0.43333333333333335,0.0,0.5777777777777777,0.5055556,3,0,7,1,0.65,0,0,0,?
569,Jaden,Philogene,MID,AVL,1,^^^,"Jaden (MID, ^^^)",0.5,0.3,0.4,0.26666666666666666,0.0,0.35555555555555557,0.3111111,3,0,7,1,0.4,0,0,0,?
30,Enzo,Barrenechea,MID,AVL,0,?,"Barrenechea (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,7,1,0.0,0,0,0,?
33,Leander,Dendoncker,MID,AVL,0,?,"Dendoncker (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,7,1,0.0,0,0,0,?
34,Moussa,Diaby,MID,AVL,0,?,"Diaby (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,7,1,0.0,0,0,0,?
