avg_rank,avg_tier,team,defAdv_nxtGWs,fplAdv_nxtGWs,attAdv_nxtGWs,avgAdv_nxtGWs
1,1,MCI,7,6,2,5.0
2,1,AVL,3,6,6,5.0
3,1,TOT,4,5,5,4.67
4,1,BRE,5,5,3,4.33
5,2,ARS,6,2,-2,2.0
6,2,WHU,-1,1,4,1.33
7,2,BHA,-3,2,4,1.0
8,2,CRY,4,0,-2,0.67
9,3,CHE,-1,0,3,0.67
10,3,NEW,-3,0,4,0.33
11,3,MUN,2,0,-3,-0.33
12,3,EVE,0,0,-1,-0.33
13,4,NFO,-1,-1,0,-0.67
14,4,LIV,-4,-3,1,-2.0
15,4,WOL,-1,-2,-4,-2.33
16,4,LUT,-5,-2,-1,-2.67
17,5,FUL,1,-3,-6,-2.67
18,5,SHU,-1,-4,-4,-3.0
19,5,BOU,-5,-5,-3,-4.33
20,5,BUR,-7,-7,-6,-6.67
