fpl_rank,fpl_tier,team,avg_pts/match,form,xPts,fplAdv_nxtGWs
1,1,MCI,67.5,67.5,67.5,6
4,1,AVL,54.0,54.0,54.0,6
3,1,BRE,57.0,57.0,57.0,5
5,2,TOT,53.0,53.0,53.0,5
2,1,BHA,58.5,58.5,58.5,2
6,2,ARS,50.0,50.0,50.0,2
7,2,WHU,45.5,50.0,46.4,1
8,2,NEW,42.5,42.5,42.5,0
9,3,CRY,41.5,41.5,41.5,0
10,3,MUN,41.0,41.0,41.0,0
15,4,CHE,28.5,28.5,28.5,0
20,5,EVE,17.0,17.0,17.0,0
13,4,NFO,37.0,37.0,37.0,-1
16,4,LUT,27.0,27.0,27.0,-2
18,5,WOL,20.5,20.5,20.5,-2
11,3,FUL,39.0,39.5,39.1,-3
12,3,LIV,38.5,39.0,38.6,-3
17,5,SHU,24.0,27.0,24.6,-4
14,4,BOU,34.5,34.5,34.5,-5
19,5,BUR,19.0,19.0,19.0,-7
