id,1st_name,2nd_name,position,team,prvGWsPtsTrend,web_name,tot_pts,fixtures_played,fixtures_not_played,std_form,form,MeanAbsDev(form),med_form,MedAbsDev(form),std_pts_dev,avg_pts/fixture,MeanAbsDev(avg_pts/fixture),med_pts,MedAbsDev(pts),std_pts_dev_played,avg_pts/fixture_played,MeanAbsDev(avg_pts/fixture_played),med_pts_played,MedAbsDev(pts_played),xPts,fplAdv_nxtGWs,^fplAdv*xPts,defAdv_nxtGWs,^defAdv*xPts,attAdv_nxtGWs,^attAdv*xPts,^avgAdv*xPts,#OfMatches_nxtGWs,gw9Pts,tot_aPts,(tot_aPts)-(^avgAdv*xPts),nxtGWsPtsTrend
9,Gabriel,Martinelli Silva,MID,ARS,?,"Martinelli (MID, ?)",35,8,0,4.9216076867444665,6.666666666666667,4.222222222222222,6.0,5.0,3.637908052713812,4.375,2.71875,3.0,2.0,3.637908052713812,4.375,2.71875,3.0,2.0,5.79132789089,-2,5.728395061728396,0,0.0,-2,5.728395061728396,5.72839506173,1,0,0,0,?
17,Bukayo,Saka,MID,ARS,?,"Saka (MID, ?)",54,7,1,6.944222218666553,6.333333333333333,6.444444444444444,3.0,3.0,4.763139720814412,6.75,3.6875,6.0,2.5,4.2999762695121175,7.714285714285714,3.5918367346938775,6.0,2.0,6.49248583802,-2,4.901234567901234,0,0.0,-2,4.901234567901234,4.9012345679,1,0,0,0,?
4,Kai,Havertz,FWD,ARS,?,"Havertz (FWD, ?)",42,8,0,2.494438257849294,5.333333333333333,2.2222222222222223,6.0,2.0,3.59687364248454,5.25,3.25,4.0,2.0,3.59687364248454,5.25,3.25,4.0,2.0,5.3015028324,-2,4.839506172839506,0,0.0,-2,4.839506172839506,4.83950617284,1,0,0,0,?
23,Leandro,Trossard,MID,ARS,?,"Trossard (MID, ?)",26,8,0,4.784233364802441,5.333333333333333,4.444444444444444,3.0,2.0,4.085033659592048,3.25,3.125,2.0,1.0,4.085033659592048,3.25,3.125,2.0,1.0,4.5375708099,-2,4.345679012345679,0,0.0,-2,4.345679012345679,4.34567901235,1,0,0,0,?
20,Thomas,Partey,MID,ARS,?,"Thomas (MID, ?)",25,8,0,0.0,2.0,0.0,2.0,0.0,3.059309562630104,3.125,1.96875,2.0,1.0,3.059309562630104,3.125,1.96875,2.0,1.0,2.42971176266,-2,2.0,0,0.0,-2,2.0,2.0,1,0,0,0,?
16,Declan,Rice,MID,ARS,?,"Rice (MID, ?)",10,7,1,0.0,2.0,0.0,2.0,0.0,1.479019945774904,1.25,1.1875,2.0,0.5,1.4982983545287882,1.4285714285714286,1.1020408163265305,2.0,0.0,1.71352549156,-2,2.0,0,0.0,-2,2.0,2.0,1,0,0,0,?
3,Gabriel,dos Santos Magalhães,DEF,ARS,?,"Gabriel (DEF, ?)",40,8,0,0.4714045207910317,1.3333333333333333,0.4444444444444444,1.0,0.0,4.415880433163924,5.0,3.5,4.0,2.5,4.415880433163924,5.0,3.5,4.0,2.5,2.73387537458,-2,1.2345679012345678,-3,1.1851851851851851,0,0.0,1.20987654321,1,0,0,0,?
15,David,Raya Martin,GKP,ARS,?,"Raya (GKP, ?)",37,8,0,0.4714045207910317,1.3333333333333333,0.4444444444444444,1.0,0.0,3.5333235062756425,4.625,3.28125,3.0,2.0,3.5333235062756425,4.625,3.28125,3.0,2.0,2.59063812036,-2,1.2345679012345678,-3,1.1851851851851851,0,0.0,1.20987654321,1,0,0,0,?
6,Jurriën,Timber,DEF,ARS,?,"J.Timber (DEF, ?)",19,6,2,1.8856180831641267,1.3333333333333333,1.7777777777777777,0.0,0.0,2.1758618981911515,2.375,1.96875,1.5,1.5,1.9507833184532706,3.1666666666666665,1.8333333333333333,3.0,2.0,1.73121459505,-2,0.9382716049382716,-3,0.7407407407407407,0,0.0,0.83950617284,1,0,0,0,?
578,Riccardo,Calafiori,DEF,ARS,?,"Calafiori (DEF, ?)",14,6,2,0.816496580927726,1.0,0.6666666666666666,1.0,1.0,2.817356917396161,1.75,1.875,1.0,1.0,3.0368111930480994,2.3333333333333335,2.2222222222222223,1.0,0.5,1.28647450844,-2,0.8518518518518519,-3,0.7777777777777778,0,0.0,0.81481481481,1,0,0,0,?
