home_attAdv,home_defAdv,home_fplAdv,home_team,away_team,away_fplAdv,away_defAdv,away_attAdv
-3,-6,-6,BUR,CHE,6,3,6
5,4,4,BOU,WHU,-4,-5,-4
5,0,2,BHA,BRE,-2,-5,0
-4,1,-5,FUL,SUN,5,4,-1
6,2,8,LIV,NFO,-8,-6,-2
-9,-1,-4,WOL,CRY,4,9,1
-4,-3,-4,NEW,MCI,4,4,3
-3,0,-5,LEE,AVL,5,3,0
4,1,6,ARS,TOT,-6,-4,-1
2,1,4,MUN,EVE,-4,-2,-1
4,-2,2,BRE,BUR,-2,-4,2
8,4,8,MCI,LEE,-8,-8,-4
-3,0,2,SUN,BOU,-2,3,0
-4,0,-2,EVE,NEW,2,4,0
4,2,1,TOT,FUL,-1,-4,-2
-2,3,-3,CRY,MUN,3,2,-3
1,7,6,AVL,WOL,-6,-1,-7
-5,-8,-6,NFO,BHA,6,5,8
0,-4,-7,WHU,LIV,7,0,4
-2,-1,-1,CHE,ARS,1,2,1
3,4,2,BOU,EVE,-2,-3,-4
-5,-5,-7,FUL,MCI,7,5,5
-1,-2,2,NEW,TOT,-2,1,2
6,4,5,ARS,BRE,-5,-6,-4
1,4,0,BHA,AVL,0,-1,-4
-4,0,-2,BUR,CRY,2,4,0
0,0,0,WOL,NFO,0,0,0
-4,-6,-7,LEE,CHE,7,4,6
-1,-1,1,LIV,SUN,-1,1,1
4,1,6,MUN,WHU,-6,-4,-1
-8,-2,-3,AVL,ARS,3,8,2
-1,-1,-3,BOU,CHE,3,1,1
2,4,3,EVE,NFO,-3,-2,-4
2,5,2,MCI,SUN,-2,-2,-5
3,1,3,NEW,BUR,-3,-3,-1
5,0,-1,TOT,BRE,1,-5,0
2,-5,-7,LEE,LIV,7,-2,5
6,3,5,BHA,WHU,-5,-6,-3
-6,3,-2,FUL,CRY,2,6,-3
-3,-6,-7,WOL,MUN,7,3,6
3,6,5,CHE,EVE,-5,-3,-6
1,-6,2,LIV,BHA,-2,-1,6
1,-2,0,BUR,FUL,0,-1,2
9,9,9,ARS,WOL,-9,-9,-9
-7,0,-5,CRY,MCI,5,7,0
-5,-8,-3,NFO,TOT,3,5,8
-3,3,2,SUN,NEW,-2,3,-3
-5,1,-5,WHU,AVL,5,5,-1
4,-1,3,BRE,LEE,-3,-4,1
0,-4,2,MUN,BOU,-2,0,4
