team,attAdv_nxtGWs,attPlayer1,attPlayer2,attPlayer3,attPlayer4,attPlayer5
LIV,6,"Salah (MID, ?) ==> (6.967, 41.802)","Darwin (FWD, ?) ==> (5.167, 31.002)","Szoboszlai (MID, ?) ==> (4.367, 26.202)","Diogo J. (MID, ?) ==> (3.2, 19.2)","Gakpo (FWD, ?) ==> (2.5, 15.0)"
BRE,6,"Mbeumo (MID, ?) ==> (6.0, 36.0)","Jensen (MID, ?) ==> (4.367, 26.202)","Schade (MID, ?) ==> (4.2, 25.2)","Nørgaard (MID, ?) ==> (2.633, 15.798)","Janelt (MID, ?) ==> (2.133, 12.798)"
BHA,5,"Gross (MID, ?) ==> (6.033, 30.165)","Ferguson (FWD, ?) ==> (5.7, 28.5)","Mitoma (MID, ?) ==> (4.233, 21.165)","Gilmour (MID, ?) ==> (3.567, 17.835)","João Pedro (FWD, ?) ==> (3.367, 16.835)"
MCI,5,"Haaland (FWD, ?) ==> (9.333, 46.665)","J.Alvarez (FWD, ?) ==> (7.7, 38.5)","Rodrigo (MID, ?) ==> (5.067, 25.335)","Doku (MID, ?) ==> (4.9, 24.5)","Bernardo (MID, ?) ==> (4.667, 23.335)"
TOT,5,"Son (MID, ?) ==> (6.767, 33.835)","Maddison (MID, ?) ==> (6.0, 30.0)","Kulusevski (MID, ?) ==> (5.3, 26.5)","Solomon (MID, ?) ==> (3.9, 19.5)","Richarlison (MID, ?) ==> (2.867, 14.335)"
NEW,5,"Gordon (MID, ?) ==> (4.433, 22.165)","Wilson (FWD, ?) ==> (3.733, 18.665)","Barnes (MID, ?) ==> (2.7, 13.5)","Longstaff (MID, ?) ==> (2.233, 11.165)","Bruno G. (MID, ?) ==> (1.733, 8.665)"
AVL,3,"Diaby (MID, ?) ==> (5.967, 17.901)","Douglas Luiz (MID, ?) ==> (4.5, 13.5)","Watkins (FWD, ?) ==> (4.267, 12.801)","Bailey (MID, ?) ==> (4.133, 12.399)","Duran (FWD, ?) ==> (3.1, 9.3)"
WHU,3,"Ward-Prowse (MID, ?) ==> (7.033, 21.099)","Bowen (MID, ?) ==> (6.6, 19.8)","Antonio (FWD, ?) ==> (4.033, 12.099)","L.Paquetá (MID, ?) ==> (3.133, 9.399)","Benrahma (MID, ?) ==> (2.5, 7.5)"
MUN,1,"Eriksen (MID, ?) ==> (4.667, 4.667)","Rashford (MID, ?) ==> (4.567, 4.567)","B.Fernandes (MID, ?) ==> (4.2, 4.2)","Hannibal (MID, ?) ==> (3.9, 3.9)","Casemiro (MID, ?) ==> (3.367, 3.367)"
CRY,0,"Edouard (FWD, ?) ==> (6.833, 0.0)","Mateta (FWD, ?) ==> (4.3, 0.0)","Eze (MID, ?) ==> (3.367, 0.0)","J.Ayew (MID, ?) ==> (2.9, 0.0)","Schlupp (MID, ?) ==> (2.133, 0.0)"
ARS,-1,"Saka (MID, ?) ==> (6.133, -0.163)","Fábio Vieira (MID, ?) ==> (4.7, -0.213)","Ødegaard (MID, ?) ==> (4.667, -0.214)","Rice (MID, ?) ==> (4.333, -0.231)","Trossard (MID, ?) ==> (4.2, -0.238)"
CHE,-2,"Sterling (MID, ?) ==> (6.167, -0.324)","N.Jackson (FWD, ?) ==> (2.467, -0.811)","Gallagher (MID, ?) ==> (2.233, -0.896)","Caicedo (MID, ?) ==> (1.9, -1.053)","Enzo (MID, ?) ==> (1.833, -1.091)"
NFO,-3,"Hudson-Odoi (MID, ?) ==> (7.767, -0.386)","Awoniyi (FWD, ?) ==> (5.767, -0.52)","Gibbs-White (MID, ?) ==> (3.7, -0.811)","Elanga (MID, ?) ==> (3.1, -0.968)","Sangaré (MID, ?) ==> (2.0, -1.5)"
FUL,-3,"Vinícius (FWD, ?) ==> (5.433, -0.552)","J.Palhinha (MID, ?) ==> (4.3, -0.698)","Andreas (MID, ?) ==> (3.733, -0.804)","De Cordova-Reid (MID, ?) ==> (2.767, -1.084)","Reed (MID, ?) ==> (2.733, -1.098)"
WOL,-3,"Neto (MID, ?) ==> (5.767, -0.52)","Hee Chan (MID, ?) ==> (3.967, -0.756)","Cunha (FWD, ?) ==> (2.967, -1.011)","Kalajdžić (FWD, ?) ==> (2.567, -1.169)","Bellegarde (MID, ?) ==> (2.0, -1.5)"
SHU,-4,"Hamer (MID, ?) ==> (4.9, -0.816)","Archer (FWD, ?) ==> (4.3, -0.93)","McBurnie (FWD, ?) ==> (1.7, -2.353)","Norwood (MID, ?) ==> (1.633, -2.449)","Vini Souza (MID, ?) ==> (1.5, -2.667)"
