att_rank,def_rank,diff=(def-att)_rank,team,avg_GF/match,avg_GA/match,(avg_GF/match)-1/(avg_GA/match),attAdv_nxtGWs,defAdv_nxtGWs,delta=(att-def)Adv_nxtGWs,#OfMatches_nxtGWs,delta/#OfMatches_nxtGWs,#atts,#defs
13,4,-9,CHE,1.0,1.0,0.0,-2,8,-10,3,-3.33,0,3
15,5,-10,FUL,1.0,2.0,0.5,-3,5,-8,3,-2.67,0,3
7,2,-5,ARS,1.8,0.8,0.55,-1,4,-5,3,-1.67,0,3
18,11,-7,BOU,0.8,1.6,0.17500000000000004,-5,-1,-4,3,-1.33,0,3
17,20,3,BUR,1.0,3.0,0.6666666666666667,-8,-5,-3,4,-0.75,0,3
20,18,-2,EVE,0.4,1.8,-0.15555555555555556,-5,-3,-2,3,-0.67,1,2
11,10,-1,CRY,1.2,1.4,0.48571428571428565,0,1,-1,3,-0.33,1,2
2,1,-1,MCI,2.8,0.6,1.133333333333333,5,6,-1,3,-0.33,1,2
10,9,-1,NFO,1.4,1.4,0.6857142857142856,-3,-3,0,3,0.0,1,2
9,8,-1,NEW,1.6,1.4,0.8857142857142858,5,5,0,3,0.0,1,2
19,19,0,LUT,0.5,2.5,0.09999999999999998,-5,-5,0,4,0.0,2,1
3,3,0,TOT,2.6,1.0,1.6,5,5,0,3,0.0,2,1
16,14,-2,WOL,1.0,2.2,0.5454545454545454,-3,-4,1,3,0.33,2,1
8,7,-1,BRE,1.6,1.2,0.7666666666666667,6,5,1,3,0.33,2,1
14,17,3,SHU,1.0,1.8,0.4444444444444444,-4,-6,2,3,0.67,2,1
12,13,1,MUN,1.2,2.0,0.7,1,-2,3,3,1.0,3,0
5,12,7,AVL,2.2,2.0,1.7000000000000002,3,0,3,3,1.0,3,0
6,16,10,WHU,2.0,1.4,1.2857142857142856,3,-4,7,3,2.33,3,0
4,6,2,LIV,2.4,0.8,1.15,6,-2,8,3,2.67,3,0
1,15,14,BHA,3.0,1.4,2.2857142857142856,5,-4,9,3,3.0,3,0
