def_rank,def_tier,team,avg_CS/match,avg_GA/match,avg_GF/match,defAdv_nxtGWs
4,1,CHE,0.4,1.0,1.0,8
1,1,MCI,0.4,0.6,2.8,6
3,1,TOT,0.4,1.0,2.6,5
5,2,FUL,0.4,2.0,1.0,5
7,2,BRE,0.2,1.2,1.6,5
8,2,NEW,0.2,1.4,1.6,5
2,1,ARS,0.4,0.8,1.8,4
10,3,CRY,0.2,1.4,1.2,1
12,3,AVL,0.2,2.0,2.2,0
11,3,BOU,0.2,1.6,0.8,-1
6,2,LIV,0.2,0.8,2.4,-2
13,4,MUN,0.2,2.0,1.2,-2
9,3,NFO,0.2,1.4,1.4,-3
18,5,EVE,0.0,1.8,0.4,-3
14,4,WOL,0.2,2.2,1.0,-4
15,4,BHA,0.0,1.4,3.0,-4
16,4,WHU,0.0,1.4,2.0,-4
19,5,LUT,0.0,2.5,0.5,-5
20,5,BUR,0.0,3.0,1.0,-5
17,5,SHU,0.0,1.8,1.0,-6
