id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,fplAdv_nxtGWs,fplAdv*xPts,defAdv_nxtGWs,defAdv*xPts,attAdv_nxtGWs,attAdv*xPts,avgAdv*xPts,#OfMatches_nxtGWs,tot_xPts,gw6Pts,gw7Pts,gw8Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend
19,Bukayo,Saka,MID,ARS,31,?,"Saka (MID, ?)",6.2,6.0,6.133,3,18.399,4,0.0,-1,-0.1630523398010761,9.117973830099462,3,18.399,13,9,0,22,1.19572,~
540,Declan,Rice,MID,ARS,20,?,"Rice (MID, ?)",4.0,5.0,4.333,3,12.999,4,0.0,-1,-0.2307869836141241,6.3841065081929385,3,12.999,1,3,3,7,0.5385,v
4,Fábio,Ferreira Vieira,MID,ARS,14,?,"Fábio Vieira (MID, ?)",4.7,4.7,4.7,3,14.1,4,0.0,-1,-0.2127659574468085,6.943617021276596,3,14.1,1,1,0,2,0.14184,vv
14,Martin,Ødegaard,MID,ARS,25,?,"Ødegaard (MID, ?)",5.0,4.0,4.667,3,14.001,4,0.0,-1,-0.2142704092564817,6.893364795371759,3,14.001,1,17,3,21,1.49989,^
26,Leandro,Trossard,MID,ARS,13,?,"Trossard (MID, ?)",4.3,4.0,4.2,3,12.6,4,0.0,-1,-0.238095238095238,6.180952380952382,3,12.6,0,0,1,1,0.07937,vv
29,Benjamin,White,DEF,ARS,18,?,"White (DEF, ?)",3.6,3.3,3.5,3,10.5,4,14.0,-1,0.0,12.25,3,10.5,4,14,9,27,2.57143,^^^
31,Oleksandr,Zinchenko,DEF,ARS,11,?,"Zinchenko (DEF, ?)",2.8,3.3,2.967,3,8.901,4,11.868,-1,0.0,10.3845,3,8.901,1,6,7,14,1.57286,^
13,Eddie,Nketiah,FWD,ARS,22,?,"Nketiah (FWD, ?)",4.4,3.0,3.933,3,11.799,4,0.0,-1,-0.2542588354945334,5.772370582252733,3,11.799,1,5,2,8,0.67802,~
20,William,Saliba,DEF,ARS,22,?,"Saliba (DEF, ?)",4.4,3.0,3.933,3,11.799,4,15.732,-1,0.0,13.7655,3,11.799,1,6,7,14,1.18654,~
113,David,Raya Martin,GKP,ARS,8,?,"Raya (GKP, ?)",8.0,2.7,6.233,3,18.699,4,24.932,-1,0.0,21.8155,3,18.699,2,6,6,14,0.7487,~
12,Gabriel,Martinelli Silva,MID,ARS,16,?,"Martinelli (MID, ?)",3.2,2.7,3.033,3,9.099,4,0.0,-1,-0.3297065611605671,4.384646719419717,3,9.099,0,0,6,6,0.65941,~
8,Gabriel,Fernando de Jesus,FWD,ARS,8,?,"G.Jesus (FWD, ?)",2.7,2.7,2.7,3,8.100000000000001,4,0.0,-1,-0.3703703703703703,3.864814814814816,3,8.1,2,5,1,8,0.98765,~
5,Gabriel,dos Santos Magalhães,DEF,ARS,9,?,"Gabriel (DEF, ?)",2.2,2.3,2.233,3,6.699,4,8.932,-1,0.0,7.8155,3,6.699,1,6,8,15,2.23914,^^^
6,Kai,Havertz,MID,ARS,8,?,"Havertz (MID, ?)",1.6,1.3,1.5,3,4.5,4,0.0,-1,-0.6666666666666666,1.9166666666666667,3,4.5,0,7,4,11,2.44444,^^^
17,Aaron,Ramsdale,GKP,ARS,11,?,"Ramsdale (GKP, ?)",2.8,1.0,2.2,3,6.6000000000000005,4,8.8,-1,0.0,7.700000000000001,3,6.6,0,0,0,0,0.0,vv
25,Takehiro,Tomiyasu,DEF,ARS,6,?,"Tomiyasu (DEF, ?)",1.5,0.7,1.233,3,3.699,4,4.932,-1,0.0,4.3155,3,3.699,0,1,1,2,0.54069,v
9,Jorge Luiz,Frello Filho,MID,ARS,3,?,"Jorginho (MID, ?)",1.0,0.7,0.9,3,2.7,4,0.0,-1,-1.1111111111111112,0.7944444444444445,3,2.7,1,1,2,4,1.48148,^
15,Thomas,Partey,MID,ARS,6,?,"Thomas (MID, ?)",2.0,0.3,1.433,3,4.299,4,0.0,-1,-0.6978367062107467,1.800581646894627,3,4.299,0,0,1,1,0.23261,vv
10,Jakub,Kiwior,DEF,ARS,2,?,"Kiwior (DEF, ?)",1.0,0.3,0.767,3,2.301,4,3.068,-1,0.0,2.6845,3,2.301,0,0,0,0,0.0,vv
578,Reiss,Nelson,MID,ARS,1,?,"Nelson (MID, ?)",1.0,0.3,0.767,3,2.301,4,0.0,-1,-1.303780964797914,0.4986095176010431,3,2.301,1,1,0,2,0.86919,~
1,Folarin,Balogun,FWD,ARS,0,?,"Balogun (FWD, ?)",0.0,0.0,0.0,3,0.0,4,0.0,-1,-inf,-inf,3,0.0,0,0,0,0,,?
2,Cédric,Alves Soares,DEF,ARS,0,?,"Cédric (DEF, ?)",0.0,0.0,0.0,3,0.0,4,0.0,-1,0.0,0.0,3,0.0,0,0,0,0,,?
3,Mohamed,Elneny,MID,ARS,0,?,"M.Elneny (MID, ?)",0.0,0.0,0.0,3,0.0,4,0.0,-1,-inf,-inf,3,0.0,0,0,0,0,,?
11,Marcus,Oliveira Alencar,MID,ARS,0,?,"Marquinhos (MID, ?)",0.0,0.0,0.0,3,0.0,4,0.0,-1,-inf,-inf,3,0.0,0,0,0,0,,?
16,Nicolas,Pépé,MID,ARS,0,?,"Pepe (MID, ?)",0.0,0.0,0.0,3,0.0,4,0.0,-1,-inf,-inf,3,0.0,0,0,0,0,,?
18,Rúnar Alex,Rúnarsson,GKP,ARS,0,?,"Rúnarsson (GKP, ?)",0.0,0.0,0.0,3,0.0,4,0.0,-1,0.0,0.0,3,0.0,0,0,0,0,,?
22,Emile,Smith Rowe,MID,ARS,0,?,"Smith Rowe (MID, ?)",0.0,0.0,0.0,3,0.0,4,0.0,-1,-inf,-inf,3,0.0,1,1,0,2,inf,^^^
24,Kieran,Tierney,DEF,ARS,0,?,"Tierney (DEF, ?)",0.0,0.0,0.0,3,0.0,4,0.0,-1,0.0,0.0,3,0.0,0,0,0,0,,?
30,Granit,Xhaka,MID,ARS,0,?,"Xhaka (MID, ?)",0.0,0.0,0.0,3,0.0,4,0.0,-1,-inf,-inf,3,0.0,0,0,0,0,,?
585,Jurriën,Timber,DEF,ARS,0,?,"J.Timber (DEF, ?)",0.0,0.0,0.0,3,0.0,4,0.0,-1,0.0,0.0,3,0.0,0,0,0,0,,?
646,Karl,Hein,GKP,ARS,0,?,"Hein (GKP, ?)",0.0,0.0,0.0,3,0.0,4,0.0,-1,0.0,0.0,3,0.0,0,0,0,0,,?
599,Moussa,Diaby,MID,AVL,29,?,"Diaby (MID, ?)",5.8,6.3,5.967,1,5.967,0,0.0,3,17.901,11.934,3,17.901,3,8,2,13,0.72622,~
36,Matty,Cash,DEF,AVL,22,?,"Cash (DEF, ?)",4.4,5.7,4.833,1,4.833,0,0.0,3,0.0,2.4165,3,14.499,6,6,2,14,0.96558,~
43,Douglas Luiz,Soares de Paulo,MID,AVL,22,?,"Douglas Luiz (MID, ?)",4.4,4.7,4.5,1,4.5,0,0.0,3,13.5,9.0,3,13.5,2,8,2,12,0.88889,~
60,Ollie,Watkins,FWD,AVL,22,?,"Watkins (FWD, ?)",4.4,4.0,4.267,1,4.267,0,0.0,3,12.801000000000002,8.534,3,12.801,9,23,5,37,2.8904,^^^
42,Lucas,Digne,DEF,AVL,20,?,"Digne (DEF, ?)",4.0,3.7,3.9,1,3.9,0,0.0,3,0.0,1.95,3,11.7,5,1,2,8,0.68376,~
44,Jhon,Durán,FWD,AVL,14,?,"Duran (FWD, ?)",3.5,2.3,3.1,1,3.1,0,0.0,3,9.3,6.2,3,9.3,1,0,0,1,0.10753,vv
34,Leon,Bailey,MID,AVL,21,?,"Bailey (MID, ?)",5.2,2.0,4.133,1,4.133,0,0.0,3,12.399,8.266,3,12.399,1,0,1,2,0.1613,vv
50,John,McGinn,MID,AVL,17,?,"McGinn (MID, ?)",3.4,1.7,2.833,1,2.833,0,0.0,3,8.499,5.666,3,8.499,3,5,1,9,1.05895,~
48,Ezri,Konsa Ngoyo,DEF,AVL,11,?,"Konsa (DEF, ?)",2.2,1.7,2.033,1,2.033,0,0.0,3,0.0,1.0165,3,6.099,7,1,2,10,1.63961,^^
584,Pau,Torres,DEF,AVL,11,?,"Pau (DEF, ?)",2.2,1.7,2.033,1,2.033,0,0.0,3,0.0,1.0165,3,6.099,8,2,10,20,3.27923,^^^
47,Boubacar,Kamara,MID,AVL,10,?,"Kamara (MID, ?)",2.0,1.7,1.9,1,1.9,0,0.0,3,5.699999999999999,3.8,3,5.7,3,2,1,6,1.05263,~
49,Emiliano,Martínez Romero,GKP,AVL,12,?,"Martinez (GKP, ?)",3.0,1.0,2.333,1,2.333,0,0.0,3,0.0,1.1665,3,6.999,6,2,3,11,1.57165,^
58,Youri,Tielemans,MID,AVL,5,?,"Tielemans (MID, ?)",1.0,1.0,1.0,1,1.0,0,0.0,3,3.0,2.0,3,3.0,1,1,1,3,1.0,~
41,Diego Carlos,Santos Silva,DEF,AVL,4,?,"Diego Carlos (DEF, ?)",1.0,1.0,1.0,1,1.0,0,0.0,3,0.0,0.5,3,3.0,0,0,2,2,0.66667,~
53,Robin,Olsen,GKP,AVL,2,?,"Olsen (GKP, ?)",2.0,0.7,1.567,1,1.567,0,0.0,3,0.0,0.7835,3,4.701,0,0,0,0,0.0,vv
672,Nicolò,Zaniolo,MID,AVL,2,?,"Zaniolo (MID, ?)",0.7,0.7,0.7,1,0.7,0,0.0,3,2.1,1.4,3,2.1,3,1,1,5,2.38095,^^^
40,Leander,Dendoncker,MID,AVL,1,?,"Dendoncker (MID, ?)",1.0,0.3,0.767,1,0.767,0,0.0,3,2.301,1.534,3,2.301,1,0,0,1,0.43459,v
59,Bertrand,Traoré,MID,AVL,1,?,"Bertrand Traoré (MID, ?)",1.0,0.3,0.767,1,0.767,0,0.0,3,2.301,1.534,3,2.301,0,0,0,0,0.0,vv
38,Philippe,Coutinho Correia,MID,AVL,2,?,"Coutinho (MID, ?)",1.0,0.0,0.0,1,0.0,0,0.0,3,0.0,0.0,3,0.0,0,0,0,0,,?
54,Jaden,Philogene-Bidace,MID,AVL,1,?,"Philogene (MID, ?)",1.0,0.0,0.0,1,0.0,0,0.0,3,0.0,0.0,3,0.0,0,0,0,0,,?
32,Alexandre,Moreno Lopera,DEF,AVL,0,?,"Alex Moreno (DEF, ?)",0.0,0.0,0.0,1,0.0,0,0.0,3,0.0,0.0,3,0.0,0,0,0,0,,?
35,Emiliano,Buendía Stati,MID,AVL,0,?,"Buendia (MID, ?)",0.0,0.0,0.0,1,0.0,0,0.0,3,0.0,0.0,3,0.0,0,0,0,0,,?
37,Calum,Chambers,DEF,AVL,0,?,"Chambers (DEF, ?)",0.0,0.0,0.0,1,0.0,0,0.0,3,0.0,0.0,3,0.0,0,0,0,0,,?
39,Keinan,Davis,FWD,AVL,0,?,"Davis (FWD, ?)",0.0,0.0,0.0,1,0.0,0,0.0,3,0.0,0.0,3,0.0,0,0,0,0,,?
45,Kortney,Hause,DEF,AVL,0,?,"Hause (DEF, ?)",0.0,0.0,0.0,1,0.0,0,0.0,3,0.0,0.0,3,0.0,0,0,0,0,,?
46,Tim,Iroegbunam,MID,AVL,0,?,"Iroegbunam (MID, ?)",0.0,0.0,0.0,1,0.0,0,0.0,3,0.0,0.0,3,0.0,0,0,0,0,,?
51,Tyrone,Mings,DEF,AVL,0,?,"Mings (DEF, ?)",0.0,0.0,0.0,1,0.0,0,0.0,3,0.0,0.0,3,0.0,0,0,0,0,,?
55,Jacob,Ramsey,MID,AVL,0,?,"J.Ramsey (MID, ?)",0.0,0.0,0.0,1,0.0,0,0.0,3,0.0,0.0,3,0.0,1,6,0,7,inf,^^^
56,Morgan,Sanson,MID,AVL,0,?,"Sanson (MID, ?)",0.0,0.0,0.0,1,0.0,0,0.0,3,0.0,0.0,3,0.0,0,0,0,0,,?
