att_rank,att_tier,team,avg_GF/match,avg_GA/match,avg_CS/match,att_adv_nxtGWs
3,1,LIV,1.90323,1.22581,0.35484,7
1,1,MCI,2.6,0.93333,0.33333,5
4,1,BHA,1.86207,1.27586,0.31034,5
6,2,NEW,1.74194,0.80645,0.41935,5
12,3,LEE,1.28125,1.9375,0.15625,4
11,3,LEI,1.34375,1.75,0.1875,3
2,1,ARS,2.40625,1.0625,0.375,2
8,2,BRE,1.5,1.34375,0.28125,2
15,4,BOU,0.96875,1.96875,0.21875,2
7,2,MUN,1.53333,1.23333,0.46667,1
10,3,AVL,1.40625,1.28125,0.34375,-1
5,2,TOT,1.8125,1.59375,0.28125,-2
14,4,CRY,0.96875,1.25,0.25,-2
9,3,FUL,1.41935,1.35484,0.25806,-4
16,4,CHE,0.96774,1.06452,0.32258,-4
17,5,WOL,0.84375,1.375,0.28125,-4
18,5,SOU,0.84375,1.75,0.125,-4
20,5,EVE,0.75,1.4375,0.25,-4
13,4,WHU,1.06452,1.32258,0.25806,-5
19,5,NFO,0.8125,1.84375,0.21875,-5
