team,att_adv_nxtGWs,attPlayer1,attPlayer2,attPlayer3,attPlayer4,attPlayer5
LIV,7,"Salah (MID, ^) ==> 6.2","Diogo Jota (FWD, ^) ==> 5.067","Gakpo (MID, ^) ==> 3.8","Firmino (FWD, v) ==> 3.333","Henderson (MID, ~) ==> 2.467"
MCI,5,"Haaland (FWD, ^) ==> 8.067","De Bruyne (MID, ~) ==> 7.133","Grealish (MID, ~) ==> 6.567","Álvarez (FWD, v) ==> 3.9","Gündogan (MID, v) ==> 3.4"
BHA,5,"March (MID, ~) ==> 4.867","Mitoma (MID, v) ==> 4.7","Groß (MID, ~) ==> 3.867","Enciso (FWD, ^) ==> 3.167","Welbeck (FWD, ^) ==> 3.1"
NEW,5,"Isak (FWD, ~) ==> 5.4","Wilson (FWD, v) ==> 4.8","Joelinton (MID, ^) ==> 4.8","Willock (MID, ~) ==> 3.733","Murphy (MID, ^) ==> 2.933"
LEE,4,"Harrison (MID, v) ==> 3.533","Sinisterra (MID, ~) ==> 3.133","Aaronson (MID, ~) ==> 2.467","Bamford (FWD, ~) ==> 2.467","Roca (MID, v) ==> 2.4"
LEI,3,"Maddison (MID, v) ==> 3.667","Barnes (MID, v) ==> 3.4","Iheanacho (FWD, ^) ==> 3.067","Vardy (FWD, ~) ==> 1.933","Ndidi (MID, ~) ==> 1.467"
ARS,2,"Martinelli (MID, ~) ==> 6.6","Ødegaard (MID, ^) ==> 5.867","Jesus (FWD, ~) ==> 5.667","Saka (MID, ~) ==> 5.133","Xhaka (MID, v) ==> 3.533"
BRE,2,"Toney (FWD, ~) ==> 5.533","Mbeumo (FWD, ~) ==> 3.733","Jensen (MID, v) ==> 3.267","Nørgaard (MID, v) ==> 2.6","Dasilva (MID, ~) ==> 1.933"
BOU,2,"Solanke (FWD, ^) ==> 4.733","Billing (MID, v) ==> 3.667","Tavernier (MID, v) ==> 3.4","Ouattara (MID, ^) ==> 2.867","Christie (MID, ~) ==> 2.0"
MUN,1,"Rashford (MID, v) ==> 5.5","Antony (MID, ^) ==> 4.133","Sancho (MID, ~) ==> 3.667","Martial (FWD, ^) ==> 3.267","McTominay (MID, v) ==> 2.233"
