att_rank,def_rank,diff=(def-att)_rank,team,avg_GF/match,avg_GA/match,(avg_GF/match)-1/(avg_GA/match),att_adv_nxtGWs,def_adv_nxtGWs,delta=(att-def)_adv_nxtGWs,#OfMatches_nxtGWs,delta/#OfMatches_nxtGWs,#atts,#defs
16,7,-9,CHE,0.96774,1.06452,0.028349476571600363,-4,-1,-3,2,-1.5,0,3
17,10,-7,WOL,0.84375,1.375,0.11647727272727271,-4,-1,-3,2,-1.5,0,3
6,2,-4,NEW,1.74194,0.80645,0.50193751999504,5,8,-3,2,-1.5,0,3
14,14,0,CRY,0.96875,1.25,0.16874999999999996,-2,1,-3,2,-1.5,0,3
10,5,-5,AVL,1.40625,1.28125,0.6257621951219512,-1,1,-2,2,-1.0,0,3
7,1,-6,MUN,1.53333,1.23333,0.7225169978026968,1,3,-2,3,-0.67,1,2
13,12,-1,WHU,1.06452,1.32258,0.30842207019613177,-5,-3,-2,3,-0.67,1,2
20,15,-5,EVE,0.75,1.4375,0.05434782608695654,-4,-3,-1,2,-0.5,1,2
8,9,1,BRE,1.5,1.34375,0.7558139534883721,2,3,-1,2,-0.5,1,2
2,3,1,ARS,2.40625,1.0625,1.4650735294117647,2,3,-1,2,-0.5,1,2
4,8,4,BHA,1.86207,1.27586,1.0782849452134244,5,6,-1,3,-0.33,2,1
19,16,-3,NFO,0.8125,1.84375,0.2701271186440678,-5,-5,0,2,0.0,2,1
18,20,2,SOU,0.84375,1.75,0.2723214285714286,-4,-4,0,2,0.0,2,1
3,4,1,LIV,1.90323,1.22581,1.0874428878047984,7,6,1,3,0.33,2,1
5,11,6,TOT,1.8125,1.59375,1.1850490196078431,-2,-3,1,2,0.5,2,1
9,13,4,FUL,1.41935,1.35484,0.6812554648519381,-4,-7,3,3,1.0,3,0
1,6,5,MCI,2.6,0.93333,1.5285676020271501,5,2,3,3,1.0,3,0
15,17,2,BOU,0.96875,1.96875,0.4608134920634921,2,-2,4,2,2.0,3,0
11,18,7,LEI,1.34375,1.75,0.7723214285714286,3,-2,5,2,2.5,3,0
12,19,7,LEE,1.28125,1.9375,0.7651209677419355,4,-3,7,2,3.5,3,0
