avg_rank,avg_tier,team,def_adv_nxtGWs,fpl_adv_nxtGWs,att_adv_nxtGWs,avg_adv_nxtGWs
1,1,NEW,8,8,5,7.0
2,1,BHA,6,4,5,5.0
3,1,LIV,6,2,7,5.0
4,1,MCI,2,3,5,3.33
5,2,MUN,3,4,1,2.67
6,2,ARS,3,3,2,2.67
7,2,BRE,3,3,2,2.67
8,2,LEI,-2,2,3,1.0
9,3,BOU,-2,2,2,0.67
10,3,AVL,1,0,-1,0.0
11,3,CRY,1,0,-2,-0.33
12,3,LEE,-3,-2,4,-0.33
13,4,WHU,-3,0,-5,-2.67
14,4,TOT,-3,-3,-2,-2.67
15,4,WOL,-1,-3,-4,-2.67
16,4,CHE,-1,-4,-4,-3.0
17,5,EVE,-3,-5,-4,-4.0
18,5,SOU,-4,-5,-4,-4.33
19,5,FUL,-7,-4,-4,-5.0
20,5,NFO,-5,-5,-5,-5.0
