def_rank,def_tier,team,avg_CS/match,avg_GA/match,avg_GF/match,def_adv_nxtGWs
2,1,NEW,0.41935,0.80645,1.74194,8
4,1,LIV,0.35484,1.22581,1.90323,6
8,2,BHA,0.31034,1.27586,1.86207,6
1,1,MUN,0.46667,1.23333,1.53333,3
3,1,ARS,0.375,1.0625,2.40625,3
9,3,BRE,0.28125,1.34375,1.5,3
6,2,MCI,0.33333,0.93333,2.6,2
5,2,AVL,0.34375,1.28125,1.40625,1
14,4,CRY,0.25,1.25,0.96875,1
7,2,CHE,0.32258,1.06452,0.96774,-1
10,3,WOL,0.28125,1.375,0.84375,-1
17,5,BOU,0.21875,1.96875,0.96875,-2
18,5,LEI,0.1875,1.75,1.34375,-2
11,3,TOT,0.28125,1.59375,1.8125,-3
12,3,WHU,0.25806,1.32258,1.06452,-3
15,4,EVE,0.25,1.4375,0.75,-3
19,5,LEE,0.15625,1.9375,1.28125,-3
20,5,SOU,0.125,1.75,0.84375,-4
16,4,NFO,0.21875,1.84375,0.8125,-5
13,4,FUL,0.25806,1.35484,1.41935,-7
