team,def_adv_nxtGWs,defPlayer1,defPlayer2,defPlayer3,defPlayer4,defPlayer5
NEW,8,"Trippier (DEF, v) ==> 5.0","Pope (GKP, v) ==> 4.4","Schär (DEF, ~) ==> 4.333","Botman (DEF, v) ==> 3.333","Burn (DEF, v) ==> 3.2"
LIV,6,"Alexander-Arnold (DEF, ^) ==> 3.8","Alisson (GKP, v) ==> 3.733","Robertson (DEF, ~) ==> 2.867","Gomez (DEF, v) ==> 2.667","Konaté (DEF, v) ==> 2.333"
BHA,6,"Steele (GKP, v) ==> 4.067","Dunk (DEF, v) ==> 3.533","Estupiñán (DEF, ~) ==> 3.1","Veltman (DEF, v) ==> 2.867","Webster (DEF, ~) ==> 2.8"
MUN,3,"Dalot (DEF, ^) ==> 4.533","De Gea (GKP, ~) ==> 4.4","Wan-Bissaka (DEF, ^) ==> 3.533","Martínez (DEF, v) ==> 3.5","Maguire (DEF, ^) ==> 2.733"
ARS,3,"White (DEF, ~) ==> 4.367","Gabriel (DEF, v) ==> 3.067","Ramsdale (GKP, v) ==> 3.067","Zinchenko (DEF, v) ==> 2.8","Holding (DEF, ~) ==> 1.2"
BRE,3,"Raya (GKP, ~) ==> 3.8","Pinnock (DEF, v) ==> 3.0","Mee (DEF, v) ==> 2.933","Henry (DEF, v) ==> 2.733","Jansson (DEF, v) ==> 2.267"
MCI,2,"Stones (DEF, ^) ==> 3.833","Ederson (GKP, ~) ==> 3.1","Dias (DEF, ~) ==> 2.667","Akanji (DEF, v) ==> 2.567","Aké (DEF, v) ==> 2.433"
AVL,1,"Martínez (GKP, ~) ==> 4.6","Álex Moreno (DEF, ~) ==> 4.4","Mings (DEF, ~) ==> 4.067","Young (DEF, ~) ==> 3.667","Konsa (DEF, ~) ==> 3.333"
CRY,1,"Johnstone (GKP, ^) ==> 7.067","Guéhi (DEF, ^) ==> 3.567","Ward (DEF, ^) ==> 3.133","Andersen (DEF, ^) ==> 3.067","Mitchell (DEF, ^) ==> 3.0"
CHE,-1,"Arrizabalaga (GKP, ~) ==> 4.467","Koulibaly (DEF, v) ==> 3.133","Chilwell (DEF, v) ==> 3.033","James (DEF, v) ==> 2.7","W.Fofana (DEF, v) ==> 2.7"
