team,fpl_adv_nxtGWs,fplPlayer1,fplPlayer2,fplPlayer3,fplpPlayer4,fplPlayer5
NEW,8,"Isak (FWD, ~) ==> 5.4","Wilson (FWD, v) ==> 4.8","Joelinton (MID, ^) ==> 4.8","Pope (GKP, v) ==> 4.4","Schär (DEF, ~) ==> 4.333"
MUN,4,"Rashford (MID, v) ==> 5.5","Dalot (DEF, ^) ==> 4.533","De Gea (GKP, ~) ==> 4.4","Antony (MID, ^) ==> 4.133","Sancho (MID, ~) ==> 3.667"
BHA,4,"March (MID, ~) ==> 4.867","Mitoma (MID, v) ==> 4.7","Groß (MID, ~) ==> 3.867","Mac Allister (MID, v) ==> 3.8","Dunk (DEF, v) ==> 3.533"
ARS,3,"Martinelli (MID, ~) ==> 6.6","Ødegaard (MID, ^) ==> 5.867","Jesus (FWD, ~) ==> 5.667","Saka (MID, ~) ==> 5.133","White (DEF, ~) ==> 4.367"
MCI,3,"Haaland (FWD, ^) ==> 8.067","De Bruyne (MID, ~) ==> 7.133","Grealish (MID, ~) ==> 6.567","Álvarez (FWD, v) ==> 3.9","Stones (DEF, ^) ==> 3.833"
BRE,3,"Toney (FWD, ~) ==> 5.533","Raya (GKP, ~) ==> 3.8","Mbeumo (FWD, ~) ==> 3.733","Jensen (MID, v) ==> 3.267","Pinnock (DEF, v) ==> 3.0"
LIV,2,"Salah (MID, ^) ==> 6.2","Diogo Jota (FWD, ^) ==> 5.067","Alexander-Arnold (DEF, ^) ==> 3.8","Gakpo (MID, ^) ==> 3.8","Alisson (GKP, v) ==> 3.733"
LEI,2,"Maddison (MID, v) ==> 3.667","Castagne (DEF, ^) ==> 3.467","Barnes (MID, v) ==> 3.4","Iheanacho (FWD, ^) ==> 3.067","Faes (DEF, ~) ==> 2.2"
BOU,2,"Solanke (FWD, ^) ==> 4.733","Billing (MID, v) ==> 3.667","Neto (GKP, ~) ==> 3.467","Tavernier (MID, v) ==> 3.4","Ouattara (MID, ^) ==> 2.867"
AVL,0,"Watkins (FWD, ~) ==> 6.2","Martínez (GKP, ~) ==> 4.6","Álex Moreno (DEF, ~) ==> 4.4","Ramsey (MID, ^) ==> 4.333","Mings (DEF, ~) ==> 4.067"
