home_att_adv,home_def_adv,home_fpl_adv,home_team,away_team,away_fpl_adv,away_def_adv,away_att_adv
-1,1,-1,WOL,CRY,1,1,-1
1,1,1,AVL,FUL,-1,-1,-1
2,-2,-1,LEE,LEI,1,-2,2
-3,-3,-3,NFO,BHA,3,3,3
-1,0,-1,CHE,BRE,1,1,0
-3,-2,0,WHU,LIV,0,3,2
0,-1,0,MCI,ARS,0,0,1
-4,-2,-4,EVE,NEW,4,4,2
0,-1,-1,SOU,BOU,1,0,1
-1,-1,-2,TOT,MUN,2,1,1
-1,0,-1,CRY,WHU,1,1,0
2,2,2,BRE,NFO,-2,-2,-2
2,3,2,BHA,WOL,-2,-2,-3
1,-2,1,BOU,LEE,-1,-1,2
-1,-3,-2,FUL,MCI,2,1,3
0,2,1,MUN,AVL,-1,0,-2
3,4,4,NEW,SOU,-4,-3,-4
2,1,1,LIV,TOT,-1,-2,-1
1,0,1,LEI,EVE,-1,-1,0
1,3,3,ARS,CHE,-3,-1,-3
3,2,1,LIV,FUL,-1,-3,-2
2,2,1,MCI,WHU,-1,-2,-2
0,0,-1,BHA,MUN,1,0,0
