att_rank,att_tier,team,avg_GF/match,avg_GA/match,avg_CS/match,attAdv_nxtGWs
2,1,BRE,2.5,1.0,0.5,9
4,1,AVL,2.5,2.5,0.5,9
1,1,BHA,4.0,1.0,0.0,8
3,1,NEW,2.5,1.0,0.0,7
6,2,TOT,2.0,1.0,0.5,6
5,2,MCI,2.0,0.0,1.0,5
8,2,LIV,2.0,1.0,0.0,5
7,2,WHU,2.0,1.0,0.0,4
12,3,CHE,1.0,2.0,0.0,3
10,3,NFO,1.5,1.5,0.0,0
9,3,ARS,1.5,0.5,0.5,-1
11,3,BOU,1.0,2.0,0.0,-2
13,4,LUT,1.0,4.0,0.0,-2
15,4,MUN,0.5,1.0,0.5,-3
14,4,CRY,0.5,0.5,0.5,-6
18,5,WOL,0.5,2.5,0.0,-6
16,4,FUL,0.5,1.5,0.5,-8
17,5,SHU,0.5,1.5,0.0,-9
19,5,EVE,0.0,2.5,0.0,-9
20,5,BUR,0.0,3.0,0.0,-10
