id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,fplAdv_nxtGWs,fplAdv*xPts,defAdv_nxtGWs,defAdv*xPts,attAdv_nxtGWs,attAdv*xPts,avgAdv*xPts,#OfMatches_nxtGWs,tot_xPts,gw3Pts,gw4Pts,gw5Pts,gw6Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend
13,Eddie,Nketiah,FWD,ARS,13,?,"Nketiah (FWD, ?)",6.5,6.5,6.5,5,32.5,11,0.0,-1,-0.15384615384615385,16.173076923076923,4,26.0,0,0,0,0,0,0,?
14,Martin,Ødegaard,MID,ARS,13,?,"Ødegaard (MID, ?)",6.5,6.5,6.5,5,32.5,11,0.0,-1,-0.15384615384615385,16.173076923076923,4,26.0,0,0,0,0,0,0,?
19,Bukayo,Saka,MID,ARS,13,?,"Saka (MID, ?)",6.5,6.5,6.5,5,32.5,11,0.0,-1,-0.15384615384615385,16.173076923076923,4,26.0,0,0,0,0,0,0,?
20,William,Saliba,DEF,ARS,13,?,"Saliba (DEF, ?)",6.5,6.5,6.5,5,32.5,11,71.5,-1,0.0,52.0,4,26.0,0,0,0,0,0,0,?
12,Gabriel,Martinelli Silva,MID,ARS,8,?,"Martinelli (MID, ?)",4.0,4.0,4.0,5,20.0,11,0.0,-1,-0.25,9.875,4,16.0,0,0,0,0,0,0,?
17,Aaron,Ramsdale,GKP,ARS,8,?,"Ramsdale (GKP, ?)",4.0,4.0,4.0,5,20.0,11,44.0,-1,0.0,32.0,4,16.0,0,0,0,0,0,0,?
29,Benjamin,White,DEF,ARS,8,?,"White (DEF, ?)",4.0,4.0,4.0,5,20.0,11,44.0,-1,0.0,32.0,4,16.0,0,0,0,0,0,0,?
15,Thomas,Partey,MID,ARS,5,?,"Thomas (MID, ?)",2.5,2.5,2.5,5,12.5,11,0.0,-1,-0.4,6.05,4,10.0,0,0,0,0,0,0,?
540,Declan,Rice,MID,ARS,5,?,"Rice (MID, ?)",2.5,2.5,2.5,5,12.5,11,0.0,-1,-0.4,6.05,4,10.0,0,0,0,0,0,0,?
6,Kai,Havertz,MID,ARS,4,?,"Havertz (MID, ?)",2.0,2.0,2.0,5,10.0,11,0.0,-1,-0.5,4.75,4,8.0,0,0,0,0,0,0,?
25,Takehiro,Tomiyasu,DEF,ARS,4,?,"Tomiyasu (DEF, ?)",2.0,2.0,2.0,5,10.0,11,22.0,-1,0.0,16.0,4,8.0,0,0,0,0,0,0,?
5,Gabriel,dos Santos Magalhães,DEF,ARS,2,?,"Gabriel (DEF, ?)",1.0,1.0,1.0,5,5.0,11,11.0,-1,0.0,8.0,4,4.0,0,0,0,0,0,0,?
9,Jorge Luiz,Frello Filho,MID,ARS,1,?,"Jorginho (MID, ?)",1.0,0.5,0.833,5,4.165,11,0.0,-1,-1.2004801920768309,1.4822599039615847,4,3.332,0,0,0,0,0,0,?
10,Jakub,Kiwior,DEF,ARS,1,?,"Kiwior (DEF, ?)",1.0,0.5,0.833,5,4.165,11,9.163,-1,0.0,6.664,4,3.332,0,0,0,0,0,0,?
26,Leandro,Trossard,MID,ARS,1,?,"Trossard (MID, ?)",1.0,0.5,0.833,5,4.165,11,0.0,-1,-1.2004801920768309,1.4822599039615847,4,3.332,0,0,0,0,0,0,?
