avg_rank,avg_tier,team,rank_avg,tier_avg,avg_potential,avgAdv_nxtGWs
1,1,LIV,1.25,1.0,1.6539753008119094,7.75
3,2,ARS,3.5,2.0,0.949168789754067,6.75
5,3,NEW,6.75,3.5,0.7476229325753991,6.5
10,5,TOT,11.5,5.75,0.2736277758157342,3.5
9,5,FUL,6.0,3.25,0.2757316197134694,3.25
13,7,AVL,8.0,4.5,0.020731451913905692,3.0
4,2,NFO,4.75,2.5,0.8576942214358747,2.5
11,6,CRY,10.0,5.5,0.0903921917025039,2.25
8,4,BHA,9.25,4.75,0.32159064367287815,2.0
2,1,MCI,6.0,3.25,0.9945755144156853,0.5
6,3,CHE,7.25,3.75,0.6480596974983684,-0.5
15,8,EVE,13.5,6.75,-0.7003712354013196,-2.0
12,6,BRE,14.5,7.75,0.03420958559478775,-2.25
7,4,BOU,9.0,5.0,0.559209947200751,-2.5
16,8,WHU,14.25,7.5,-0.9795678336532434,-3.0
14,7,MUN,12.75,6.5,-0.35102595110251356,-3.25
19,10,LEI,17.75,9.25,-1.417203206359956,-3.5
20,10,SOU,19.75,10.0,-1.7500446292723788,-6.5
17,9,WOL,17.25,8.75,-1.0324797422503256,-6.75
18,9,IPS,17.0,8.75,-1.195897074068097,-7.75
