id,1st_name,2nd_name,position,team,prvGWsPtsTrend,web_name,tot_pts,tot_MP,tot_GS,tot_GC,tot_OG,tot_A,tot_CS,tot_S,tot_PS,tot_PM,tot_YC,tot_RC,tot_BP,fxtrs_plyd,fxtrs_not_plyd,med_formPts,MedAbsDev(formPts),formPts,MeanAbsDev(formPts),StdDev(formPts),med_formMP,MedAbsDev(formMP),formMP,MeanAbsDev(formMP),StdDev(formMP),med_pts/fxtr,MedAbsDev(pts/fxtr),avg_pts/fxtr,MeanAbsDev(pts/fxtr),StdDev(pts/fxtr),med_MP/fxtr,MedAbsDev(MP/fxtr),avg_MP/fxtr,MeanAbsDev(MP/fxtr),StdDev(MP/fxtr),med_GS/fxtr,MedAbsDev(GS/fxtr),avg_GS/fxtr,MeanAbsDev(GS/fxtr),StdDev(GS/fxtr),med_GC/fxtr,MedAbsDev(GC/fxtr),avg_GC/fxtr,MeanAbsDev(GC/fxtr),StdDev(GC/fxtr),med_OG/fxtr,MedAbsDev(OG/fxtr),avg_OG/fxtr,MeanAbsDev(OG/fxtr),StdDev(OG/fxtr),med_A/fxtr,MedAbsDev(A/fxtr),avg_A/fxtr,MeanAbsDev(A/fxtr),StdDev(A/fxtr),med_CS/fxtr,MedAbsDev(CS/fxtr),avg_CS/fxtr,MeanAbsDev(CS/fxtr),StdDev(CS/fxtr),med_S/fxtr,MedAbsDev(S/fxtr),avg_S/fxtr,MeanAbsDev(S/fxtr),StdDev(S/fxtr),med_PS/fxtr,MedAbsDev(PS/fxtr),avg_PS/fxtr,MeanAbsDev(PS/fxtr),StdDev(PS/fxtr),med_PM/fxtr,MedAbsDev(PM/fxtr),avg_PM/fxtr,MeanAbsDev(PM/fxtr),StdDev(PM/fxtr),med_YC/fxtr,MedAbsDev(YC/fxtr),avg_YC/fxtr,MeanAbsDev(YC/fxtr),StdDev(YC/fxtr),med_RC/fxtr,MedAbsDev(RC/fxtr),avg_RC/fxtr,MeanAbsDev(RC/fxtr),StdDev(RC/fxtr),med_BP/fxtr,MedAbsDev(BP/fxtr),avg_BP/fxtr,MeanAbsDev(BP/fxtr),StdDev(BP/fxtr),med_pts/fxtr_plyd,MedAbsDev(pts/fxtr_plyd),avg_pts/fxtr_plyd,MeanAbsDev(pts/fxtr_plyd),StdDev(pts/fxtr_plyd),med_MP/fxtr_plyd,MedAbsDev(MP/fxtr_plyd),avg_MP/fxtr_plyd,MeanAbsDev(MP/fxtr_plyd),StdDev(MP/fxtr_plyd),med_GS/fxtr_plyd,MedAbsDev(GS/fxtr_plyd),avg_GS/fxtr_plyd,MeanAbsDev(GS/fxtr_plyd),StdDev(GS/fxtr_plyd),med_GC/fxtr_plyd,MedAbsDev(GC/fxtr_plyd),avg_GC/fxtr_plyd,MeanAbsDev(GC/fxtr_plyd),StdDev(GC/fxtr_plyd),med_OG/fxtr_plyd,MedAbsDev(OG/fxtr_plyd),avg_OG/fxtr_plyd,MeanAbsDev(OG/fxtr_plyd),StdDev(OG/fxtr_plyd),med_A/fxtr_plyd,MedAbsDev(A/fxtr_plyd),avg_A/fxtr_plyd,MeanAbsDev(A/fxtr_plyd),StdDev(A/fxtr_plyd),med_CS/fxtr_plyd,MedAbsDev(CS/fxtr_plyd),avg_CS/fxtr_plyd,MeanAbsDev(CS/fxtr_plyd),StdDev(CS/fxtr_plyd),med_S/fxtr_plyd,MedAbsDev(S/fxtr_plyd),avg_S/fxtr_plyd,MeanAbsDev(S/fxtr_plyd),StdDev(S/fxtr_plyd),med_PS/fxtr_plyd,MedAbsDev(PS/fxtr_plyd),avg_PS/fxtr_plyd,MeanAbsDev(PS/fxtr_plyd),StdDev(PS/fxtr_plyd),med_PM/fxtr_plyd,MedAbsDev(PM/fxtr_plyd),avg_PM/fxtr_plyd,MeanAbsDev(PM/fxtr_plyd),StdDev(PM/fxtr_plyd),med_YC/fxtr_plyd,MedAbsDev(YC/fxtr_plyd),avg_YC/fxtr_plyd,MeanAbsDev(YC/fxtr_plyd),StdDev(YC/fxtr_plyd),med_RC/fxtr_plyd,MedAbsDev(RC/fxtr_plyd),avg_RC/fxtr_plyd,MeanAbsDev(RC/fxtr_plyd),StdDev(RC/fxtr_plyd),med_BP/fxtr_plyd,MedAbsDev(BP/fxtr_plyd),avg_BP/fxtr_plyd,MeanAbsDev(BP/fxtr_plyd),StdDev(BP/fxtr_plyd),fplAdv_nxtGWs,xPts(fplAdv),defAdv_nxtGWs,xPts(defAdv),attAdv_nxtGWs,xPts(attAdv),xPts(avgAdv),#OfMatches_nxtGWs,gw19Pts,gw20Pts,gw21Pts,gw22Pts,gw23Pts,tot_aPts,tot_aPts-xPts(avgAdv),nxtGWsPtsTrend
18,William,Saliba,DEF,ARS,?,"Saliba (DEF, ?)",70,1469,2,14,0,0,7,0,0,0,2,1,6,17,1,6.5,3.5,6.666666666666667,3.6666666666666665,4.642796092394706,90.0,0.0,90.0,0.0,0.0,2.0,2.5,3.888888888888889,3.320987654320988,4.053652521545488,90.0,0.0,81.61111111111111,14.913580246913575,24.21463948589982,0.0,0.0,0.1111111111111111,0.1975308641975308,0.3142696805273545,1.0,1.0,0.7777777777777778,0.6913580246913581,0.7856742013183862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3888888888888889,0.4753086419753086,0.4874980215217846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1975308641975308,0.3142696805273545,0.0,0.0,0.0555555555555555,0.1049382716049382,0.2290614236454256,0.0,0.0,0.3333333333333333,0.5185185185185185,0.7453559924999298,2.0,3.0,4.117647058823529,3.301038062283737,4.056691682250981,90.0,0.0,86.41176470588235,6.754325259515575,14.352941176470589,0.0,0.0,0.1176470588235294,0.2076124567474048,0.3221897397089212,1.0,1.0,0.8235294117647058,0.6782006920415226,0.7848037684780197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4117647058823529,0.4844290657439445,0.4921529567847503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1176470588235294,0.2076124567474048,0.3221897397089212,0.0,0.0,0.0588235294117647,0.1107266435986159,0.2352941176470588,0.0,0.0,0.3529411764705882,0.5397923875432526,0.7624400821656306,26,17.22222222222222,12,13.333333333333332,0,0.0,15.27777777778,5,2,2,2,0,9,15,-0.2777777777800008,~
4,Kai,Havertz,FWD,ARS,?,"Havertz (FWD, ?)",74,1480,7,16,0,2,6,0,0,0,3,0,10,17,1,5.5,1.0,4.666666666666667,1.7777777777777777,1.9720265943665387,90.0,0.0,81.66666666666667,11.111111111111107,12.657891697365017,2.0,1.5,4.111111111111111,2.790123456790124,3.160325034072865,90.0,0.0,82.22222222222223,12.962962962962958,21.58846285391949,0.0,0.0,0.3888888888888889,0.4753086419753086,0.4874980215217846,1.0,1.0,0.8888888888888888,0.6913580246913581,0.8089010988089465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1975308641975308,0.3142696805273545,0.0,0.0,0.3333333333333333,0.4444444444444444,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.2777777777777778,0.372677996249965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.802469135802469,0.955813918560292,2.0,1.0,4.352941176470588,2.726643598615917,3.0858534232009416,90.0,0.0,87.05882352941177,5.190311418685119,8.509306934073415,0.0,0.0,0.4117647058823529,0.4844290657439445,0.4921529567847503,1.0,1.0,0.9411764705882352,0.6643598615916955,0.8022459821756386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1176470588235294,0.2076124567474048,0.3221897397089212,0.0,0.0,0.3529411764705882,0.4567474048442907,0.4778846120374094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1764705882352941,0.2906574394463668,0.3812200410828153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5882352941176471,0.8304498269896194,0.973702668073344,26,14.333333333333336,0,0.0,26,14.333333333333332,14.33333333333,5,0,0,1,7,2,10,-4.33333333333,4↓
3,Gabriel,dos Santos Magalhães,DEF,ARS,?,"Gabriel (DEF, ?)",79,1358,3,14,0,2,6,0,0,0,2,0,7,16,2,5.0,4.0,4.666666666666667,3.333333333333333,3.7267799624996494,67.5,22.5,52.5,37.5,40.38873605350878,3.0,3.0,4.388888888888889,3.209876543209876,3.86061147846482,90.0,0.0,75.44444444444444,22.641975308641975,29.60897428187426,0.0,0.0,0.1666666666666666,0.2777777777777778,0.3726779962499649,1.0,1.0,0.7777777777777778,0.6913580246913581,0.7856742013183863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1975308641975308,0.3142696805273545,0.0,0.0,0.3333333333333333,0.4444444444444444,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1975308641975308,0.3142696805273545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3888888888888889,0.6481481481481483,0.950957931590205,5.0,3.0,4.9375,3.0625,3.7494791304926607,90.0,0.0,84.875,8.96875,13.633025159516135,0.0,0.0,0.1875,0.3046875,0.3903123748998999,1.0,1.0,0.875,0.65625,0.7806247497997998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.21875,0.3307189138830738,0.0,0.0,0.375,0.46875,0.4841229182759271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.21875,0.3307189138830738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.7109375,0.998044963916957,26,23.666666666666664,12,19.0,0,0.0,21.33333333333,5,2,2,1,1,7,13,-8.33333333333,5↓
15,David,Raya Martin,GKP,ARS,?,"Raya (GKP, ?)",73,1620,0,16,0,0,7,45,0,0,2,0,6,18,0,4.5,1.5,4.166666666666667,1.8333333333333333,1.8633899812498247,90.0,0.0,90.0,0.0,0.0,3.0,2.0,4.055555555555555,2.5123456790123457,2.8765763257776924,90.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8888888888888888,0.691358024691358,0.8089010988089465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3888888888888889,0.4753086419753086,0.4874980215217846,2.0,1.0,2.5,1.5555555555555556,2.140872096444188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1975308641975308,0.3142696805273545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5555555555555556,0.816496580927726,3.0,2.0,4.055555555555555,2.5123456790123457,2.8765763257776924,90.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8888888888888888,0.691358024691358,0.8089010988089465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3888888888888889,0.4753086419753086,0.4874980215217846,2.0,1.0,2.5,1.5555555555555556,2.140872096444188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1975308641975308,0.3142696805273545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5555555555555556,0.816496580927726,26,20.77777777777778,12,17.666666666666668,0,0.0,19.22222222222,5,2,3,2,1,9,17,-2.222222222220001,2↓
6,Jurriën,Timber,DEF,ARS,?,"J.Timber (DEF, ?)",63,1305,1,11,0,1,6,0,0,0,4,0,5,16,2,4.0,3.0,5.5,4.166666666666667,4.7871355387816905,90.0,0.0,89.16666666666667,1.3888888888888855,1.8633899812498247,2.0,1.5,3.5,2.833333333333333,3.547299442298794,88.5,1.5,72.5,22.11111111111111,30.159299284521406,0.0,0.0,0.0555555555555555,0.1049382716049382,0.2290614236454256,0.5,0.5,0.6111111111111112,0.6111111111111112,0.6781419786518724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0555555555555555,0.1049382716049382,0.2290614236454256,0.0,0.0,0.3333333333333333,0.4444444444444444,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.345679012345679,0.415739709641549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2777777777777778,0.4938271604938272,0.8031573497111645,2.0,1.0,3.9375,2.8046875,3.5261301379841328,90.0,0.0,81.5625,10.6015625,16.855891959490013,0.0,0.0,0.0625,0.1171875,0.2420614591379635,1.0,1.0,0.6875,0.6015625,0.6817945071647321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.1171875,0.2420614591379635,0.0,0.0,0.375,0.46875,0.4841229182759271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.375,0.4330127018922193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.546875,0.8454843286542927,26,14.333333333333336,12,12.0,0,0.0,13.16666666667,5,1,0,2,1,5,9,-4.16666666667,3↓
16,Declan,Rice,MID,ARS,?,"Rice (MID, ?)",47,1281,1,15,0,3,5,0,0,0,3,1,4,16,2,3.0,1.0,4.666666666666667,2.8888888888888893,3.299831645537222,88.0,2.0,74.83333333333333,18.88888888888889,21.75941686310141,2.0,1.0,2.611111111111111,1.8148148148148149,2.751542777119954,90.0,0.0,71.16666666666667,24.0,30.033777281217525,0.0,0.0,0.0555555555555555,0.1049382716049382,0.2290614236454256,1.0,1.0,0.8333333333333334,0.7407407407407408,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.2777777777777778,0.3726779962499649,0.0,0.0,0.2777777777777778,0.4012345679012345,0.4479032082388083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.2777777777777778,0.3726779962499649,0.0,0.0,0.0555555555555555,0.1049382716049382,0.2290614236454256,0.0,0.0,0.2222222222222222,0.3703703703703704,0.5328701692569688,2.0,0.5,2.9375,1.796875,2.7492896809903464,90.0,0.0,80.0625,13.65625,17.39421150124374,0.0,0.0,0.0625,0.1171875,0.2420614591379635,1.0,1.0,0.9375,0.703125,0.8267972847076845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.3046875,0.3903123748998999,0.0,0.0,0.3125,0.4296875,0.4635124054434789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.3046875,0.3903123748998999,0.0,0.0,0.0625,0.1171875,0.2420614591379635,0.0,0.0,0.25,0.40625,0.5590169943749475,26,12.88888888888889,0,0.0,26,12.88888888888889,12.88888888889,5,1,4,2,2,3,12,-0.8888888888899995,~
13,Martin,Ødegaard,MID,ARS,?,"Ødegaard (MID, ?)",41,905,1,6,0,2,6,0,0,0,1,0,3,11,7,3.0,0.5,3.5,1.5,2.0615528128088303,83.5,6.5,80.16666666666667,9.5,10.761298971571952,2.0,2.0,2.2777777777777777,1.895061728395062,2.445075676073932,73.0,17.0,50.27777777777778,39.104938271604944,40.78644322096846,0.0,0.0,0.0555555555555555,0.1049382716049382,0.2290614236454256,0.0,0.0,0.3333333333333333,0.4814814814814815,0.5773502691896257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1975308641975308,0.3142696805273545,0.0,0.0,0.3333333333333333,0.4444444444444444,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0555555555555555,0.1049382716049382,0.2290614236454256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.2962962962962963,0.4999999999999999,3.0,1.0,3.727272727272727,1.7851239669421484,2.0928844424038795,89.0,1.0,82.27272727272727,8.247933884297522,9.478117468347904,0.0,0.0,0.0909090909090909,0.165289256198347,0.2874797872880344,0.0,0.0,0.5454545454545454,0.5950413223140495,0.6555547773570889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1818181818181818,0.2975206611570247,0.3856946079199349,1.0,0.0,0.5454545454545454,0.4958677685950414,0.4979295977319691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.165289256198347,0.2874797872880344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.4462809917355371,0.616575453011388,26,15.77777777777778,0,0.0,26,15.77777777777778,15.77777777778,5,2,1,8,2,0,13,-2.777777777780001,3↓
9,Gabriel,Martinelli Silva,MID,ARS,?,"Martinelli (MID, ?)",63,1031,4,10,0,2,6,0,0,0,1,0,4,16,2,3.0,1.5,2.6666666666666665,1.777777777777778,2.357022603955159,71.5,18.5,58.833333333333336,29.222222222222214,33.06769151637626,3.0,2.0,3.5,2.388888888888889,3.218867985971328,70.0,18.0,57.27777777777778,26.85185185185185,30.573782442470318,0.0,0.0,0.2222222222222222,0.345679012345679,0.415739709641549,0.0,0.0,0.5555555555555556,0.6790123456790123,0.7617394000445605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1975308641975308,0.3142696805273545,0.0,0.0,0.3333333333333333,0.4444444444444444,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0555555555555555,0.1049382716049382,0.2290614236454256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.3950617283950617,0.7114582486036499,3.0,1.5,3.9375,2.4140625,3.151760420780742,71.5,13.5,64.4375,20.078125,24.294980834526296,0.0,0.0,0.25,0.375,0.4330127018922193,0.0,0.0,0.625,0.703125,0.7806247497997998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.21875,0.3307189138830738,0.0,0.0,0.375,0.46875,0.4841229182759271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.1171875,0.2420614591379635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.4375,0.75,26,20.77777777777778,0,0.0,26,20.77777777777778,20.77777777778,5,9,1,1,7,3,21,0.222222222220001,~
17,Bukayo,Saka,MID,ARS,?,"Saka (MID, ?)",107,1268,5,13,0,11,6,0,0,0,3,0,16,16,2,2.5,1.0,4.5,4.5,6.13052471924984,81.5,8.5,61.0,33.0,36.12939707957128,3.5,2.5,5.944444444444445,4.382716049382716,5.348646996330757,84.5,5.5,70.44444444444444,23.75308641975309,30.253048004791964,0.0,0.0,0.2777777777777778,0.4012345679012345,0.4479032082388083,1.0,1.0,0.7222222222222222,0.6419753086419752,0.7307192465536614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6111111111111112,0.6790123456790123,0.8258927081843614,0.0,0.0,0.3333333333333333,0.4444444444444444,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.2777777777777778,0.3726779962499649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.9876543209876544,1.1493422703098446,5.0,3.0,6.6875,4.359375,5.216784809631312,86.0,4.0,79.25,12.125,18.21572123194687,0.0,0.0,0.3125,0.4296875,0.4635124054434789,1.0,1.0,0.8125,0.609375,0.7261843774138906,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.6875,0.6875,0.8454843286542927,0.0,0.0,0.375,0.46875,0.4841229182759271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.3046875,0.3903123748998999,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,1.1726039399558574,26,24.72222222222222,0,0.0,26,24.72222222222222,24.72222222222,5,0,0,0,0,0,0,-24.72222222222,7↓
23,Leandro,Trossard,MID,ARS,?,"Trossard (MID, ?)",58,1010,3,11,0,3,5,0,0,0,0,1,5,18,0,2.0,1.0,4.0,3.333333333333333,4.0,62.5,24.5,55.66666666666666,25.444444444444446,28.9175071923951,2.0,1.0,3.2222222222222223,2.6790123456790123,3.6599264648890233,61.0,29.0,56.11111111111112,24.64197530864197,28.286017136247704,0.0,0.0,0.1666666666666666,0.2777777777777778,0.3726779962499649,0.0,0.0,0.6111111111111112,0.7469135802469135,0.8258927081843614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.2777777777777778,0.372677996249965,0.0,0.0,0.2777777777777778,0.4012345679012346,0.4479032082388083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0555555555555555,0.1049382716049382,0.2290614236454256,0.0,0.0,0.2777777777777778,0.462962962962963,0.6502611061510903,2.0,1.0,3.2222222222222223,2.6790123456790123,3.6599264648890233,61.0,29.0,56.11111111111112,24.64197530864197,28.286017136247704,0.0,0.0,0.1666666666666666,0.2777777777777778,0.3726779962499649,0.0,0.0,0.6111111111111112,0.7469135802469135,0.8258927081843614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.2777777777777778,0.372677996249965,0.0,0.0,0.2777777777777778,0.4012345679012346,0.4479032082388083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0555555555555555,0.1049382716049382,0.2290614236454256,0.0,0.0,0.2777777777777778,0.462962962962963,0.6502611061510903,26,12.88888888888889,0,0.0,26,12.88888888888889,12.88888888889,5,1,2,9,10,3,25,12.11111111111,6↑
